"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","top_20","top_10","top_5","win","odds_per_dollar","one","residuals","own_change","adj_own"
"1","Scottie Scheffler",22529105,10900,93.81,0.0944,0.0884,1,-0.00599999999999999,-0.0636,92.46,25.6,115.5,72,0.82425,0.5637,0.4007,0.271675,0.088075,8.11,1,0.68,-1.45,25
"2","Justin Thomas",22529106,10600,99.21,0.083,0.0786,2,-0.0044,-0.053,93.24,26.5,116,73,0.807,0.5281,0.368425,0.23995,0.073325,7.42,1,0.88,1.89,30
"3","Dustin Johnson",22529107,10200,65.14,0.0419,0.0398,6,-0.0021,-0.0501,79.58,10.9,104,34,0.71975,0.37255,0.23065,0.1341,0.03395,3.9,1,-1.62,4.61,15
"4","Jordan Spieth",22529108,10100,69.68,0.0377,0.0388,7,0.0011,0.0292,77.94,15.7,102.5,33.5,0.659,0.2919,0.1675,0.093125,0.020925,3.84,1,-1.45,11.12,25
"5","Hideki Matsuyama",22529109,9900,86.65,0.0379,0.0372,8,-0.000700000000000006,-0.0185,77.14,14.1,102,34,0.751675,0.413,0.262525,0.15785,0.0409999999999999,3.76,1,-1.11,7.77,20
"6","Xander Schauffele",22529110,9700,81.59,0.0443,0.0407,5,-0.0036,-0.0813,85.07,14.8,107,38,0.7474,0.39875,0.245375,0.143125,0.03545,4.2,1,-0.29,2.65,15
"7","Sam Burns",22529111,9500,81.92,0.054,0.0535,3,-5e-04,-0.0093,78.6,30.8,103,34.42,0.708125,0.3638,0.2231,0.131075,0.033,5.63,1,1.49,10.12,40
"8","Will Zalatoris",22529112,9400,74.32,0.0436,0.043,4,-0.000600000000000003,-0.0138,80.28,27.4,104.5,33.5,0.7338,0.3882,0.2416,0.140975,0.034125,4.57,1,0.59,9.24,35
"9","Joaquin Niemann",22529113,9300,74.08,0.0373,0.0342,9,-0.0031,-0.0831,83.54,17.2,106,37,0.712025,0.352525,0.206025,0.11435,0.02655,3.68,1,-0.14,3.76,20
"10","Tommy Fleetwood",22529115,9000,71.32,0.0244,0.0228,12,-0.0016,-0.0656,73.32,8.1,98,32.5,0.66005,0.281475,0.1544,0.07945,0.017275,2.53,1,-0.86,6.2,15
"11","Adam Scott",22529116,8700,72.27,0.0138,0.0139,28,9.99999999999994e-05,0.0072,70.08,6.4,96,32,0.601825,0.221,0.11485,0.057,0.010175,1.6,1,-1.41,9.14,15
"12","Talor Gooch",22529117,8600,83,0.0201,0.023,11,0.0029,0.1443,72.13,17.9,98,32,0.67555,0.299875,0.17125,0.09205,0.0191,2.67,1,-0.22,15.84,35
"13","Jhonattan Vegas",22529118,8400,69.67,0.0168,0.0192,16,0.0024,0.1429,73.88,16.6,99.5,32.5,0.63395,0.24755,0.13035,0.066175,0.012525,2.29,1,-0.38,14.72,30
"14","Jason Kokrak",22529119,8300,69.32,0.0138,0.0149,24,0.0011,0.0797,64.85,6.7,93,30.5,0.596975,0.219425,0.11545,0.06095,0.0124,1.8,1,-0.77,11.69,20
"15","Jason Day",22529120,8200,60.4,0.0168,0.019,17,0.0022,0.131,63.87,7.7,92.5,30.5,0.629025,0.2414,0.128175,0.0671,0.013425,2.32,1,-0.15,14.46,20
"16","Aaron Wise",22529121,8100,68.71,0.0227,0.0214,13,-0.0013,-0.0573,72.43,20.1,98.5,32.5,0.678625,0.299775,0.173275,0.09355,0.021725,2.64,1,0.26,7.63,30
"17","Adam Hadwin",22529122,8000,70,0.0175,0.0185,19,0.000999999999999997,0.0571,71.13,20.5,96.5,32.5,0.624675,0.246925,0.130975,0.066925,0.013075,2.31,1,0.03,12.06,35
"18","Cameron Champ",22529123,8000,54,0.0105,0.0189,18,0.0084,0.8,51.25,8.8,83.5,27.5,0.516875,0.141525,0.06605,0.0311,0.005075,2.36,1,0.08,33.26,40
"19","Seamus Power",22529124,7900,69.75,0.036,0.0338,10,-0.0022,-0.0611,75.07,7.5,100,32.5,0.7067,0.3382,0.2013,0.113125,0.0269,4.28,1,2.11,7.22,15
"20","Alex Noren",22529125,7900,68.96,0.0216,0.0205,14,-0.0011,-0.0509,73.65,13.4,98,33,0.660375,0.27425,0.150225,0.078575,0.0148,2.59,1,0.42,8.14,20
"21","Maverick McNealy",22529126,7800,77.86,0.0205,0.0205,14,0,0,70.39,20.9,96.5,31.5,0.647425,0.271225,0.150525,0.078225,0.01625,2.63,1,0.58,10.44,30
"22","Marc Leishman",22529127,7800,74.42,0.0119,0.0161,21,0.0042,0.3529,71.4,7.7,97,32,0.597825,0.20995,0.104575,0.0512,0.00935,2.06,1,0.01,19.65,25
"23","Si Woo Kim",22529128,7800,69.36,0.0152,0.018,20,0.0028,0.1842,69.72,5.7,96,31.5,0.671525,0.2911,0.16195,0.087475,0.0196,2.31,1,0.26,16.13,20
"24","Davis Riley",22529129,7700,61.97,0.0117,0.0142,27,0.0025,0.2137,57.47,7.4,87.5,28.5,0.496075,0.124125,0.056775,0.0243,0.003375,1.84,1,-0.08,15.4,25
"25","Matt Kuchar",22529130,7700,71.23,0.0085,0.0084,43,-0.000100000000000001,-0.0118,59.86,3.6,88.5,29,0.56975,0.172975,0.08065,0.03735,0.006,1.09,1,-0.83,9.18,15
"26","Lanto Griffin",22529131,7700,64.88,0.0112,0.0115,31,3e-04,0.0268,63.87,11.8,92.5,30,0.599275,0.214025,0.108425,0.05265,0.009675,1.49,1,-0.43,10.28,20
"27","Mito Pereira",22529133,7600,67.06,0.0121,0.0113,33,-8e-04,-0.0661,68.27,9.1,95.5,31.5,0.634375,0.237175,0.1246,0.06255,0.0116,1.49,1,-0.27,8.24,15
"28","Sebastian Munoz",22529134,7600,66.4,0.0146,0.016,22,0.0014,0.0959,64.02,11.4,91.5,30.5,0.646475,0.25765,0.1412,0.074475,0.015625,2.11,1,0.35,13.15,25
"29","Sepp Straka",22529135,7600,58.32,0.0154,0.0146,25,-8e-04,-0.0519,60.4,9.5,90.5,29.5,0.6306,0.2466,0.130075,0.066925,0.012875,1.92,1,0.16,8.55,20
"30","Bubba Watson",22529136,7500,52.4,0.0127,0.0156,23,0.0029,0.2283,60.63,3.8,89.5,29.5,0.646375,0.263225,0.143975,0.076025,0.016825,2.08,1,0.51,16.7,20
"31","Keith Mitchell",22529137,7500,68.14,0.0129,0.0144,26,0.0015,0.1163,68.86,12.5,96,31.5,0.63505,0.249875,0.13365,0.069175,0.014125,1.92,1,0.35,13.4,25
"32","Kevin Kisner",22529138,7500,63,0.0075,0.007,47,-5e-04,-0.0667,58.46,2.4,88.58,29.43,0.55025,0.1632,0.07895,0.03735,0.0068,0.93,1,-0.64,8.56,10
"33","Christiaan Bezuidenhout",22529140,7400,63.19,0.0073,0.0074,46,1e-04,0.0137,65.11,3.7,93.5,30.5,0.5815,0.186175,0.09095,0.04335,0.00695,1,1,-0.38,9.92,15
"34","Ryan Palmer",22529141,7400,51.83,0.0067,0.0067,48,0,0,63.4,3.8,92.5,30,0.473825,0.113925,0.05225,0.023425,0.00335,0.91,1,-0.47,9.65,15
"35","Ian Poulter",22529142,7400,49.86,0.0039,0.0054,53,0.0015,0.3846,57.02,1.6,86.5,28.5,0.529875,0.13995,0.063675,0.028975,0.004125,0.73,1,-0.65,13.99,15
"36","Kurt Kitayama",22529143,7400,54.25,0.0056,0.0089,40,0.0033,0.5893,59.59,9.9,88.5,29,0.482625,0.115325,0.0516,0.0231,0.003525,1.2,1,-0.18,19.94,30
"37","Matthew NeSmith",22529144,7300,56.86,0.0077,0.0088,41,0.0011,0.1429,62.51,6.4,91.5,30,0.5834,0.1905,0.096725,0.04585,0.00835,1.21,1,0.01,12.41,20
"38","C.T. Pan",22529145,7300,63.91,0.0107,0.0099,36,-0.000799999999999999,-0.0748,62.09,7.3,90,30,0.5995,0.211425,0.106575,0.052075,0.009825,1.36,1,0.16,8.58,15
"39","Tom Hoge",22529146,7300,67.67,0.0137,0.0126,30,-0.0011,-0.0803,62.59,8.8,90.5,30.43,0.62545,0.2397,0.1248,0.063875,0.011375,1.73,1,0.53,8.26,15
"40","Dylan Frittelli",22529147,7300,53.56,0.0063,0.0066,49,3e-04,0.0476,53.28,2.4,83.58,28,0.5463,0.1607,0.0775,0.035675,0.006625,0.9,1,-0.3,10.4,15
"41","Luke List",22529148,7300,58.76,0.009,0.0095,38,5e-04,0.0556,68.04,10.2,95,31.5,0.601625,0.206975,0.102475,0.05025,0.00955,1.3,1,0.1,11.11,20
"42","Mackenzie Hughes",22529149,7200,59.97,0.0083,0.0077,44,-6e-04,-0.0723,54.23,1.9,84.5,28.5,0.58985,0.19545,0.094625,0.0461,0.007025,1.07,1,-0.01,8.84,10
"43","Shaun Norris",22529150,7200,91.2,0.0024,0.0023,90,-9.99999999999998e-05,-0.0417,51.37,0.48,82.5,27,0.421225,0.075925,0.030975,0.01245,0.0012,0.32,1,-0.76,9.25,10
"44","J.J. Spaun",22529151,7200,63.58,0.0081,0.0089,40,8e-04,0.0988,57.67,4.2,87.5,29,0.5863,0.2004,0.098125,0.048175,0.008575,1.24,1,0.16,11.82,15
"45","Aaron Rai",22529152,7200,56.22,0.011,0.0102,35,-0.000799999999999999,-0.0727,61.52,4.5,90,29.5,0.560075,0.16805,0.082125,0.037025,0.006075,1.42,1,0.34,8.71,15
"46","Charles Howell III",22529153,7200,60.17,0.0107,0.0098,37,-9e-04,-0.0841,63.73,3.7,91.5,30,0.5812,0.19715,0.099825,0.050875,0.009325,1.36,1,0.28,8.48,10
"47","Matthew Wolff",22529154,7200,61.14,0.0076,0.0114,32,0.0038,0.5,45.21,9.4,77,26,0.41645,0.077275,0.031775,0.0124,0.001375,1.58,1,0.5,20.48,30
"48","Patton Kizzire",22529155,7100,62.19,0.0145,0.0132,29,-0.0013,-0.0897,70.19,10.7,95.5,31.5,0.607525,0.215025,0.1098,0.0552,0.010325,1.86,1,0.9,8.16,20
"49","David Lipsky",22529156,7100,51.92,0.0056,0.0051,56,-5e-04,-0.0893,61.69,1.1,91,30.5,0.5256,0.139,0.061925,0.028475,0.004675,0.72,1,-0.24,8.9,10
"50","Sahith Theegala",22529157,7100,65.1,0.006,0.0077,44,0.0017,0.2833,59.7,8.2,89.5,29.5,0.51515,0.139875,0.0647,0.030175,0.004375,1.08,1,0.12,14.29,20
"51","Brendon Todd",22529158,7100,57.38,0.0047,0.0043,63,-4e-04,-0.0851,56.23,0.69,86,28.5,0.517425,0.1286,0.058175,0.02525,0.00355,0.61,1,-0.35,9.01,10
"52","Matthias Schwab",22529159,7100,57.47,0.0066,0.006,50,-6e-04,-0.0909,67.66,1.1,95,31,0.492825,0.118025,0.051075,0.021475,0.00305,0.85,1,-0.11,8.8,10
"53","Scott Stallings",22529160,7000,54.64,0.0096,0.0087,42,-9e-04,-0.0937,59.39,1.8,89.08,29.5,0.53645,0.1511,0.0724,0.03415,0.004925,1.24,1,0.41,8.6,10
"54","Nick Taylor",22529161,7000,55.17,0.0043,0.0049,58,6e-04,0.1395,59.18,1.1,88.5,29.5,0.529875,0.150175,0.0683,0.031225,0.004725,0.7,1,-0.13,11.3,10
"55","Lee Westwood",22529162,7000,43.06,0.0038,0.0035,70,-3e-04,-0.0789,53.76,0.51,84.58,28,0.4458,0.09235,0.04,0.0174,0.002175,0.5,1,-0.33,9.21,10
"56","Patrick Rodgers",22529163,7000,54.56,0.0056,0.0053,54,-3e-04,-0.0536,61.51,1.9,90,30,0.500125,0.12605,0.055875,0.025025,0.0039,0.76,1,-0.07,9.38,10
"57","Carlos Ortiz",22529165,7000,59.83,0.0056,0.0051,56,-5e-04,-0.0893,56.32,2.3,86.5,28.5,0.52205,0.135175,0.061125,0.0269,0.004275,0.73,1,-0.1,9,10
"58","Danny Willett",22529166,6900,52.63,0.0049,0.0045,62,-4e-04,-0.0816,54.06,1.2,86,27.5,0.511775,0.1313,0.05955,0.026125,0.00415,0.65,1,-0.06,9.22,10
"59","Stephan Jaeger",22529167,6900,47.47,0.0042,0.0055,52,0.0013,0.3095,46.97,1.7,79.5,26,0.48325,0.11285,0.049725,0.022575,0.003425,0.8,1,0.09,13.63,15
"60","Greyson Sigg",22529169,6900,59.53,0.0061,0.0056,51,-5e-04,-0.082,55.36,0.94,85.58,28.5,0.501075,0.12665,0.055125,0.023725,0.00345,0.81,1,0.1,9.14,10
"61","Martin Laird",22529170,6900,55.88,0.0022,0.0029,78,7e-04,0.3182,59.2,2.5,88.5,29,0.472225,0.108975,0.046875,0.018575,0.002525,0.42,1,-0.29,12.2,15
"62","Wyndham Clark",22529171,6900,56.09,0.004,0.0037,67,-3e-04,-0.075,47.68,1.8,80,26.5,0.464825,0.09645,0.041225,0.017625,0.0023,0.54,1,-0.17,9.33,10
"63","Mark Hubbard",22529172,6900,69.67,0.0113,0.0103,34,-0.000999999999999999,-0.0885,59.38,2.6,89,29,0.5555,0.16765,0.0813,0.03835,0.006025,1.49,1,0.78,8.66,10
"64","Chez Reavie",22529173,6800,49.92,0.0029,0.0027,84,-2e-04,-0.069,54.27,0.79,85.5,28,0.39775,0.0662,0.02465,0.009575,0.001325,0.4,1,-0.22,9.48,10
"65","Branden Grace",22529174,6800,45.36,0.003,0.0031,75,9.99999999999998e-05,0.0333,55.1,0.87,84.5,28,0.49465,0.119075,0.053625,0.023075,0.003525,0.46,1,-0.16,10.09,10
"66","Taylor Moore",22529175,6800,49.53,0.0032,0.0037,67,5e-04,0.1562,56.77,0.77,87,29,0.50275,0.12335,0.054475,0.022925,0.0033,0.54,1,-0.08,11.18,10
"67","Doc Redman",22529176,6800,51.14,0.0044,0.004,64,-4e-04,-0.0909,50.71,1.4,82,27,0.46365,0.09895,0.041175,0.0164,0.001975,0.59,1,-0.03,9.26,10
"68","Emiliano Grillo",22529177,6800,48.97,0.0022,0.0029,78,7e-04,0.3182,55.45,0.9,87.5,28.5,0.44925,0.090325,0.038225,0.01585,0.002225,0.43,1,-0.19,12.27,15
"69","Nate Lashley",22529178,6800,57.22,0.0028,0.0033,73,5e-04,0.1786,54.83,2.7,85.5,28,0.47475,0.110025,0.04765,0.021075,0.0029,0.49,1,-0.13,11.22,15
"70","Francesco Molinari",22529179,6800,51,0.0028,0.003,76,2e-04,0.0714,53.78,0.58,84,28,0.444975,0.09595,0.040275,0.0172,0.002375,0.44,1,-0.18,10.32,10
"71","Charl Schwartzel",22529180,6700,42.21,0.0031,0.0028,80,-3e-04,-0.0968,49.16,0.41,81.08,27,0.414825,0.0749,0.029625,0.01215,0.00155,0.42,1,-0.12,9.4,10
"72","Hudson Swafford",22529181,6700,60.25,0.0035,0.0046,60,0.0011,0.3143,56.21,4.6,87.5,28.5,0.473575,0.10305,0.043775,0.0199,0.003225,0.69,1,0.15,13.3,20
"73","Brian Stuard",22529182,6700,49.5,0.0028,0.0026,86,-2e-04,-0.0714,52.47,0.57,83,27.5,0.43935,0.0853,0.035,0.014225,0.001675,0.39,1,-0.15,9.54,10
"74","Pat Perez",22529183,6700,52.34,0.0037,0.0034,72,-3e-04,-0.0811,59.44,0.91,88.5,29,0.4756,0.108425,0.046475,0.019,0.0023,0.51,1,-0.03,9.44,10
"75","Henrik Stenson",22529184,6700,45.5,0.0037,0.0036,69,-1e-04,-0.027,46.67,0.5,79,26,0.45065,0.094725,0.039825,0.016875,0.00225,0.54,1,0,9.81,10
"76","Hank Lebioda",22529186,6700,44.92,0.0041,0.0037,67,-4e-04,-0.0976,55.64,1.6,86,28.5,0.448,0.087275,0.0362,0.014625,0.00215,0.55,1,0.01,9.3,10
"77","Sam Ryder",22529187,6700,55.33,0.0024,0.0022,91,-2e-04,-0.0833,54.02,0.31,85,28,0.441575,0.09445,0.039125,0.016125,0.002175,0.33,1,-0.21,9.51,10
"78","Rory Sabbatini",22529188,6600,57.08,0.0049,0.0045,62,-4e-04,-0.0816,53.59,0.62,84.58,28,0.4612,0.0989,0.041525,0.017225,0.00265,0.68,1,0.2,9.42,10
"79","Peter Malnati",22529191,6600,57.24,0.0036,0.0032,74,-4e-04,-0.1111,49.35,0.65,80.5,27,0.472675,0.10245,0.043625,0.0192,0.002575,0.48,1,0,9.32,10
"80","Brandt Snedeker",22529192,6600,44.63,0.0027,0.0025,87,-2e-04,-0.0741,53.27,0.32,85,28,0.40035,0.0613,0.0243,0.009475,0.001475,0.38,1,-0.1,9.58,10
"81","Charley Hoffman",22529194,6600,47.86,0.0022,0.0021,93,-1e-04,-0.0455,60.25,0.55,90,29.5,0.37295,0.0556,0.02115,0.0086,0.001225,0.32,1,-0.16,9.7,10
"82","Andrew Putnam",22529196,6500,52.97,0.0058,0.0053,54,-5e-04,-0.0862,54.02,0.28,84,28,0.4915,0.1189,0.050325,0.021175,0.003525,0.82,1,0.39,9.37,10
"83","Harry Higgs",22529197,6500,48.19,0.005,0.0046,60,-4e-04,-0.08,50.15,0.99,81.5,27.5,0.48895,0.118875,0.0527,0.02295,0.00385,0.71,1,0.28,9.47,10
"84","Joseph Bramlett",22529198,6500,49,0.0043,0.0039,65,-4e-04,-0.093,56.08,1.2,87.08,29,0.465625,0.10575,0.045925,0.020825,0.003025,0.6,1,0.17,9.41,10
"85","Adam Schenk",22529199,6500,45.75,0.0037,0.0034,72,-3e-04,-0.0811,54.49,2.2,85,28.5,0.479,0.109975,0.047875,0.020275,0.003025,0.52,1,0.09,9.53,10
"86","Tyler Duncan",22529202,6500,53.47,0.0029,0.0027,84,-2e-04,-0.069,52.8,0.53,84.5,27.5,0.45525,0.09465,0.0408,0.01755,0.0023,0.42,1,-0.01,9.64,10
"87","Robert Streb",22529203,6500,49.71,0.0026,0.0027,84,1e-04,0.0385,49.4,0.59,81.5,27,0.46105,0.1003,0.0436,0.019225,0.0027,0.42,1,-0.01,10.21,10
"88","Michael Thompson",22529204,6500,55,0.0023,0.0021,93,-2e-04,-0.087,53.55,0.35,84,28,0.4434,0.086875,0.03365,0.0141,0.00165,0.32,1,-0.11,9.59,10
"89","Kramer Hickok",22529205,6400,48.03,0.0029,0.003,76,1e-04,0.0345,55.63,0.74,86.58,28,0.4726,0.1108,0.0487,0.0202,0.0029,0.47,1,0.07,10.26,10
"90","Adam Svensson",22529206,6400,51.9,0.0029,0.0028,80,-9.99999999999998e-05,-0.0345,55.76,1.5,86,28.5,0.451975,0.09485,0.041875,0.017775,0.002425,0.44,1,0.04,9.84,10
"91","Luke Donald",22529207,6400,50.68,0.0022,0.002,96,-2e-04,-0.0909,51.87,0.3,82.5,27.5,0.4152,0.072125,0.0277,0.010925,0.00165,0.31,1,-0.09,9.62,10
"92","Trey Mullinax",22529210,6400,48.38,0.002,0.0021,93,9.99999999999998e-05,0.05,54.55,0.66,86,28,0.4074,0.07245,0.0282,0.010775,0.001375,0.33,1,-0.07,10.17,10
"93","Hayden Buckley",22529214,6300,53,0.0025,0.0024,88,-1e-04,-0.04,54.71,1.2,86,28,0.4273,0.07915,0.03175,0.012625,0.00165,0.38,1,-0.01,9.81,10
"94","Andrew Novak",22529216,6300,50.91,0.0029,0.0027,84,-2e-04,-0.069,54.44,0.26,85.08,28,0.430675,0.084675,0.0347,0.013925,0.00195,0.43,1,0.04,9.68,10
"95","Ben Kohles",22529218,6300,55.4,0.0022,0.002,96,-2e-04,-0.0909,42,0.24,73.5,25,0.42305,0.07245,0.02935,0.0117,0.001325,0.32,1,-0.07,9.63,10
"96","Paul Barjon",22529219,6300,45.67,0.0022,0.002,96,-2e-04,-0.0909,50.54,0.57,82.5,27,0.38165,0.056225,0.020225,0.0075,0.0011,0.32,1,-0.07,9.63,10
"97","Kevin Tway",22529236,6100,44.05,0.0026,0.0023,90,-3e-04,-0.1154,45.49,0.08,77,25.5,0.410425,0.0662,0.025525,0.01005,0.001325,0.38,1,-0.04,9.5,10
