"","Name","ID","Salary","fpts","FPTS","proj_own","odds_open","odds_close","odds_delta","odds_delta_per","odds_rank","own_change","own"
"1","Scottie Scheffler",22529105,10900,92.46,98.48,25.6,0.0944,0.0884,-0.006,-0.0636,1,-1.45,0.26
"2","Justin Thomas",22529106,10600,93.24,96.44,26.5,0.083,0.0786,-0.0044,-0.053,2,1.89,0.3
"3","Dustin Johnson",22529107,10200,79.58,31.47,10.9,0.0419,0.0398,-0.0021,-0.0501,6,4.61,0
"4","Jordan Spieth",22529108,10100,77.94,57.28,15.7,0.0377,0.0388,0.0011,0.0292,7,11.12,0
"5","Hideki Matsuyama",22529109,9900,77.14,48.46,14.1,0.0379,0.0372,-7e-04,-0.0185,8,7.77,0
"6","Xander Schauffele",22529110,9700,85.07,48.06,14.8,0.0443,0.0407,-0.0036,-0.0813,5,2.65,0
"7","Sam Burns",22529111,9500,78.6,69.91,30.8,0.054,0.0535,-5e-04,-0.0093,3,10.12,0.4
"8","Will Zalatoris",22529112,9400,80.28,62.1,27.4,0.0436,0.043,-6e-04,-0.0138,4,9.24,0.14
"9","Joaquin Niemann",22529113,9300,83.54,58.62,17.2,0.0373,0.0342,-0.0031,-0.0831,9,3.76,0.06
"10","Tommy Fleetwood",22529115,9000,73.32,80.62,8.1,0.0244,0.0228,-0.0016,-0.0656,12,6.2,0.16
"11","Adam Scott",22529116,8700,70.08,62.35,6.4,0.0138,0.0139,1e-04,0.0072,28,9.14,0.12
"12","Talor Gooch",22529117,8600,72.13,73.8,17.9,0.0201,0.023,0.0029,0.1443,11,15.84,0.36
"13","Jhonattan Vegas",22529118,8400,73.88,71.08,16.6,0.0168,0.0192,0.0024,0.1429,16,14.72,0.3
"14","Jason Kokrak",22529119,8300,64.85,57.7,6.7,0.0138,0.0149,0.0011,0.0797,24,11.69,0.02
"15","Jason Day",22529120,8200,63.87,70.36,7.7,0.0168,0.019,0.0022,0.131,17,14.46,0.2
"16","Aaron Wise",22529121,8100,72.43,73.8,20.1,0.0227,0.0214,-0.0013,-0.0573,13,7.63,0.3
"17","Adam Hadwin",22529122,8000,71.13,56.32,20.5,0.0175,0.0185,0.001,0.0571,19,12.06,0
"18","Cameron Champ",22529123,8000,51.25,76.5,8.8,0.0105,0.0189,0.0084,0.8,18,33.26,0.4
"19","Seamus Power",22529124,7900,75.07,63.74,7.5,0.036,0.0338,-0.0022,-0.0611,10,7.22,0.16
"20","Alex Noren",22529125,7900,73.65,66.23,13.4,0.0216,0.0205,-0.0011,-0.0509,14,8.14,0.2
"21","Maverick McNealy",22529126,7800,70.39,77.92,20.9,0.0205,0.0205,0,0,14,10.44,0.3
"22","Marc Leishman",22529127,7800,71.4,69.05,7.7,0.0119,0.0161,0.0042,0.3529,21,19.65,0.26
"23","Si Woo Kim",22529128,7800,69.72,67.92,5.7,0.0152,0.018,0.0028,0.1842,20,16.13,0.2
"24","Davis Riley",22529129,7700,57.47,70.27,7.4,0.0117,0.0142,0.0025,0.2137,27,15.4,0.26
"25","Matt Kuchar",22529130,7700,59.86,64.77,3.6,0.0085,0.0084,-1e-04,-0.0118,43,9.18,0.16
"26","Lanto Griffin",22529131,7700,63.87,43.98,11.8,0.0112,0.0115,3e-04,0.0268,31,10.28,0
"27","Mito Pereira",22529133,7600,68.27,64.56,9.1,0.0121,0.0113,-8e-04,-0.0661,33,8.24,0.16
"28","Sebastian Munoz",22529134,7600,64.02,50.15,11.4,0.0146,0.016,0.0014,0.0959,22,13.15,0
"29","Sepp Straka",22529135,7600,60.4,61.69,9.5,0.0154,0.0146,-8e-04,-0.0519,25,8.55,0.2
"30","Bubba Watson",22529136,7500,60.63,60,3.8,0.0127,0.0156,0.0029,0.2283,23,16.7,0.1
"31","Keith Mitchell",22529137,7500,68.86,50.34,12.5,0.0129,0.0144,0.0015,0.1163,26,13.4,0
"32","Kevin Kisner",22529138,7500,58.46,53.55,2.4,0.0075,0.007,-5e-04,-0.0667,47,8.56,0
"33","Christiaan Bezuidenhout",22529140,7400,65.11,50.44,3.7,0.0073,0.0074,1e-04,0.0137,46,9.92,0
"34","Ryan Palmer",22529141,7400,63.4,56.98,3.8,0.0067,0.0067,0,0,48,9.65,0
"35","Ian Poulter",22529142,7400,57.02,57.06,1.6,0.0039,0.0054,0.0015,0.3846,53,13.99,0
"36","Kurt Kitayama",22529143,7400,59.59,82.96,9.9,0.0056,0.0089,0.0033,0.5893,40,19.94,0.3
"37","Matthew NeSmith",22529144,7300,62.51,61.66,6.4,0.0077,0.0088,0.0011,0.1429,41,12.41,0.2
"38","C.T. Pan",22529145,7300,62.09,51.45,7.3,0.0107,0.0099,-8e-04,-0.0748,36,8.58,0
"39","Tom Hoge",22529146,7300,62.59,57.45,8.8,0.0137,0.0126,-0.0011,-0.0803,30,8.26,0.02
"40","Dylan Frittelli",22529147,7300,53.28,53.34,2.4,0.0063,0.0066,3e-04,0.0476,49,10.4,0
"41","Luke List",22529148,7300,68.04,53.14,10.2,0.009,0.0095,5e-04,0.0556,38,11.11,0
"42","Mackenzie Hughes",22529149,7200,54.23,55.44,1.9,0.0083,0.0077,-6e-04,-0.0723,44,8.84,0
