tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2022,2022,AT&T Byron Nelson,19,"Lee, K.H.",13497,1,1,TPC Craig Ranch,894,64,0.759,0.287,3.741,1.418,5.446,6.205,293.9,0.857,0.944,0.8,12.573,27.418
pga,2022,2022,AT&T Byron Nelson,19,"Lee, K.H.",13497,1,2,TPC Craig Ranch,894,68,0.667,-0.918,0.473,0.862,0.417,1.084,295.4,0.786,0.722,0.75,38.063,36.03
pga,2022,2022,AT&T Byron Nelson,19,"Lee, K.H.",13497,1,3,TPC Craig Ranch,894,67,-0.565,1.677,1.049,-0.625,2.101,1.536,302.9,0.571,0.778,0.857,81.781,29.814
pga,2022,2022,AT&T Byron Nelson,19,"Lee, K.H.",13497,1,4,TPC Craig Ranch,894,63,3.033,1.666,-0.012,0.622,2.277,5.31,298.3,0.714,0.722,1.0,54.796,43.663
pga,2022,2022,AT&T Byron Nelson,19,"Spieth, Jordan",14636,2,1,TPC Craig Ranch,894,67,0.892,0.736,-0.025,1.602,2.313,3.205,306.9,0.714,0.667,0.667,29.069,32.259
pga,2022,2022,AT&T Byron Nelson,19,"Spieth, Jordan",14636,2,2,TPC Craig Ranch,894,65,1.186,0.207,1.893,0.798,2.898,4.084,309.8,0.5,0.778,0.778,39.398,21.462
pga,2022,2022,AT&T Byron Nelson,19,"Spieth, Jordan",14636,2,3,TPC Craig Ranch,894,64,0.942,0.238,2.124,1.232,3.594,4.536,306.1,0.714,0.722,0.857,56.796,27.729
pga,2022,2022,AT&T Byron Nelson,19,"Spieth, Jordan",14636,2,4,TPC Craig Ranch,894,67,-1.571,0.44,2.27,0.17,2.881,1.31,307.5,0.643,0.778,0.857,39.571,36.043
pga,2022,2022,AT&T Byron Nelson,19,"Matsuyama, Hideki",13562,T3,1,TPC Craig Ranch,894,67,-1.351,0.687,3.829,0.04,4.556,3.205,288.6,0.714,0.833,0.8,23.06,22.282
pga,2022,2022,AT&T Byron Nelson,19,"Matsuyama, Hideki",13562,T3,2,TPC Craig Ranch,894,66,1.068,0.477,1.142,0.397,2.016,3.084,305.5,0.643,0.778,1.0,18.22,20.114
pga,2022,2022,AT&T Byron Nelson,19,"Matsuyama, Hideki",13562,T3,3,TPC Craig Ranch,894,69,0.154,-1.951,1.101,0.232,-0.618,-0.464,303.2,0.571,0.833,0.333,95.236,26.912
pga,2022,2022,AT&T Byron Nelson,19,"Matsuyama, Hideki",13562,T3,4,TPC Craig Ranch,894,62,1.812,0.106,3.342,1.049,4.498,6.31,301.7,0.786,0.722,0.75,93.201,21.342
pga,2022,2022,AT&T Byron Nelson,19,"Munoz, Sebastian",20770,T3,1,TPC Craig Ranch,894,60,4.27,0.69,4.476,0.769,5.935,10.205,305.0,0.857,0.889,1.0,26.848,24.319
pga,2022,2022,AT&T Byron Nelson,19,"Munoz, Sebastian",20770,T3,2,TPC Craig Ranch,894,69,1.429,-0.835,-0.968,0.458,-1.345,0.084,301.4,0.643,0.889,0.5,95.977,37.448
pga,2022,2022,AT&T Byron Nelson,19,"Munoz, Sebastian",20770,T3,3,TPC Craig Ranch,894,66,0.056,0.82,1.181,0.479,2.48,2.536,308.3,0.571,0.889,0.6,70.579,26.355
pga,2022,2022,AT&T Byron Nelson,19,"Munoz, Sebastian",20770,T3,4,TPC Craig Ranch,894,69,-1.681,-0.267,0.861,0.396,0.991,-0.69,301.5,0.714,0.833,0.5,12.972,30.755
pga,2022,2022,AT&T Byron Nelson,19,"Thomas, Justin",14139,T5,1,TPC Craig Ranch,894,68,0.454,1.299,2.288,-1.836,1.751,2.205,302.7,0.429,0.722,0.5,42.203,21.474
pga,2022,2022,AT&T Byron Nelson,19,"Thomas, Justin",14139,T5,2,TPC Craig Ranch,894,66,0.463,2.248,-1.292,1.665,2.621,3.084,305.0,0.786,0.722,0.778,39.763,48.515
pga,2022,2022,AT&T Byron Nelson,19,"Thomas, Justin",14139,T5,3,TPC Craig Ranch,894,64,0.687,1.944,1.459,0.446,3.849,4.536,310.4,0.5,0.778,1.0,39.516,26.636
pga,2022,2022,AT&T Byron Nelson,19,"Thomas, Justin",14139,T5,4,TPC Craig Ranch,894,67,1.726,-1.785,0.479,0.889,-0.416,1.31,310.7,0.571,0.722,0.7,40.636,31.366
pga,2022,2022,AT&T Byron Nelson,19,"Schauffele, Xander",19895,T5,1,TPC Craig Ranch,894,72,-2.882,0.282,0.659,0.146,1.087,-1.795,301.4,0.714,0.833,0.667,49.704,22.566
pga,2022,2022,AT&T Byron Nelson,19,"Schauffele, Xander",19895,T5,2,TPC Craig Ranch,894,67,0.804,0.011,-0.027,1.296,1.28,2.084,308.7,0.857,0.667,0.636,21.823,35.83
pga,2022,2022,AT&T Byron Nelson,19,"Schauffele, Xander",19895,T5,3,TPC Craig Ranch,894,65,0.664,1.286,1.189,0.397,2.872,3.536,301.3,0.643,0.889,0.714,40.834,29.801
pga,2022,2022,AT&T Byron Nelson,19,"Schauffele, Xander",19895,T5,4,TPC Craig Ranch,894,61,2.732,0.877,2.828,0.872,4.578,7.31,299.9,0.786,0.889,1.0,73.411,29.848
pga,2022,2022,AT&T Byron Nelson,19,"Palmer, Ryan",7820,T5,1,TPC Craig Ranch,894,67,0.631,1.607,0.361,0.606,2.574,3.205,302.2,0.571,0.778,0.714,33.12,54.425
pga,2022,2022,AT&T Byron Nelson,19,"Palmer, Ryan",7820,T5,2,TPC Craig Ranch,894,62,2.656,0.637,2.427,1.364,4.428,7.084,304.2,0.714,0.944,1.0,58.06,29.157
pga,2022,2022,AT&T Byron Nelson,19,"Palmer, Ryan",7820,T5,3,TPC Craig Ranch,894,70,-2.118,0.201,-1.011,1.464,0.654,-1.464,305.3,0.786,0.667,0.571,66.823,35.804
pga,2022,2022,AT&T Byron Nelson,19,"Palmer, Ryan",7820,T5,4,TPC Craig Ranch,894,66,3.259,-2.035,0.518,0.567,-0.949,2.31,300.3,0.714,0.722,0.889,50.084,41.755
