Player,Roster Position,%Drafted,FPTS
Rory McIlroy,G,22.05%,79
Jordan Spieth,G,21.00%,51
Cameron Smith,G,19.84%,68
Patrick Cantlay,G,18.92%,10
Shane Lowry,G,18.07%,53.5
Xander Schauffele,G,17.51%,58.5
Hideki Matsuyama,G,16.14%,42.5
Matt Fitzpatrick,G,16.07%,74
Scottie Scheffler,G,16.04%,22.5
Justin Thomas,G,15.98%,95
Will Zalatoris,G,15.77%,91
Alex Noren,G,15.25%,20
Cameron Young,G,13.51%,86.5
Jon Rahm,G,13.21%,45
Corey Conners,G,13.07%,11.5
Joaquin Niemann,G,12.24%,61
Viktor Hovland,G,12.09%,44
Tony Finau,G,12.04%,54
Mito Pereira,G,11.63%,85.5
Max Homa,G,11.47%,65
Keegan Bradley,G,11.05%,40
Collin Morikawa,G,9.91%,45.5
Billy Horschel,G,9.72%,41.5
Sebastian Munoz,G,9.46%,36
Russell Henley,G,9.42%,44
Daniel Berger,G,8.58%,7.5
Dustin Johnson,G,8.30%,18.5
Tyrrell Hatton,G,8.18%,68
Tommy Fleetwood,G,7.97%,83
Sam Burns,G,7.95%,59.5
Robert Macintyre,G,7.09%,31
Talor Gooch,G,7.08%,58
Harold Varner III,G,7.01%,49.5
Jason Kokrak,G,6.90%,47.5
Matt Kuchar,G,6.38%,55.5
Tiger Woods,G,6.04%,29
Gary Woodland,G,5.85%,52
Aaron Wise,G,5.65%,62.5
Adam Scott,G,5.45%,26
Sergio Garcia,G,5.38%,16
Louis Oosthuizen,G,5.33%,45.5
Seamus Power,G,5.16%,63.5
Maverick McNealy,G,5.03%,37.5
Brooks Koepka,G,4.91%,45
Lanto Griffin,G,4.53%,47
Tom Hoge,G,4.45%,73
Adam Hadwin,G,4.44%,35.5
Brian Harman,G,3.89%,65
Jason Day,G,3.63%,40
Marc Leishman,G,3.55%,51.5
Patrick Reed,G,3.54%,49.5
Davis Riley,G,3.53%,65.5
Si Woo Kim,G,3.43%,46.5
Kevin Na,G,3.32%,57
Christiaan Bezuidenhout,G,3.30%,15.5
Ryan Fox,G,3.24%,46
Jhonattan Vegas,G,3.09%,11
Chris Kirk,G,2.98%,78
Abraham Ancer,G,2.92%,63
Justin Rose,G,2.58%,68
Anirban Lahiri,G,2.56%,17
Sam Horsfield,G,2.48%,16
Keith Mitchell,G,2.27%,55
Ryan Palmer,G,2.20%,19.5
Kyoung-Hoon Lee,G,2.18%,48.5
Cameron Champ,G,2.04%,13.5
Cameron Tringale,G,1.95%,49
Sepp Straka,G,1.90%,32.5
Troy Merritt,G,1.90%,48.5
Luke List,G,1.77%,60
Webb Simpson,G,1.75%,66.5
Erik Van Rooyen,G,1.63%,13
J.J. Spaun,G,1.50%,14.5
Cameron Davis,G,1.44%,47
Rickie Fowler,G,1.28%,51.5
Thomas Pieters,G,1.22%,45
Bubba Watson,G,1.21%,62.5
Matt Jones,G,1.17%,9.5
Mackenzie Hughes,G,1.16%,14.5
Oliver Bekker,G,1.05%,15
Stewart Cink,G,1.02%,59.5
Pablo Larrazabal,G,1.02%,8
Joel Dahmen,G,0.97%,13.5
Matthew Wolff,G,0.94%,14.5
Charl Schwartzel,G,0.87%,41
Padraig Harrington,G,0.82%,12.5
Kevin Streelman,G,0.78%,49
Kevin Kisner,G,0.77%,21
Carlos Ortiz,G,0.73%,7
Russell Knox,G,0.73%,15.5
Francesco Molinari,G,0.71%,40
Bernd Wiesberger,G,0.70%,62
Adri Arnaus,G,0.62%,50.5
Patton Kizzire,G,0.62%,36
Beau Hossler,G,0.55%,37.5
Dean Burmester,G,0.53%,18.5
Ian Poulter,G,0.47%,21
Harry Higgs,G,0.43%,21
Justin Harding,G,0.42%,39
Lucas Glover,G,0.42%,55
Min Woo Lee,G,0.40%,21
Joohyung Kim,G,0.38%,7.5
Brendan Steele,G,0.37%,70.5
Scott Stallings,G,0.36%,14.5
Chad Ramey,G,0.31%,10.5
