player_name,sample_size,baseline,major_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Rahm, Jon",150,1.962,0.001,27,0.017,-0.033,-0.006,0.241,-0.040,0.027,0.024,-0.012,0.039,2.182,2.909,"PGA Championship",Southern Hills CC
"Scheffler, Scottie",150,2.125,0.106,25,0.022,0.031,-0.070,-0.041,-0.040,0.017,0.002,-0.022,-0.003,2.131,2.912,"PGA Championship",Southern Hills CC
"McIlroy, Rory",150,1.844,0.075,33,-0.001,0.059,-0.001,0.076,-0.040,0.035,-0.005,-0.016,0.013,2.025,2.917,"PGA Championship",Southern Hills CC
"Thomas, Justin",150,2.041,0.014,29,0.012,0.035,-0.011,-0.056,-0.040,0.021,-0.022,-0.020,-0.022,1.973,2.874,"PGA Championship",Southern Hills CC
"Cantlay, Patrick",150,1.934,-0.006,30,0.008,0.000,-0.016,0.058,-0.040,0.011,0.003,-0.018,-0.004,1.935,2.885,"PGA Championship",Southern Hills CC
"Matsuyama, Hideki",150,1.533,0.120,30,0.008,-0.030,0.010,0.090,-0.040,0.008,0.014,-0.012,0.009,1.701,2.911,"PGA Championship",Southern Hills CC
"Morikawa, Collin",150,1.414,0.093,25,0.024,0.077,-0.018,0.045,-0.040,0.005,0.051,-0.007,0.049,1.645,2.917,"PGA Championship",Southern Hills CC
"Schauffele, Xander",150,1.553,0.104,28,0.014,0.019,-0.017,-0.010,-0.040,0.016,0.015,-0.015,0.016,1.638,2.870,"PGA Championship",Southern Hills CC
"Lowry, Shane",150,1.719,0.093,35,-0.008,-0.007,-0.015,-0.128,-0.040,0.007,0.010,-0.016,0.001,1.615,2.892,"PGA Championship",Southern Hills CC
"Fitzpatrick, Matthew",150,1.458,0.067,27,0.016,0.033,0.025,0.005,-0.040,0.005,0.026,-0.017,0.015,1.580,2.857,"PGA Championship",Southern Hills CC
"Smith, Cameron",150,1.835,0.060,28,0.013,-0.042,0.039,-0.269,-0.040,0.005,-0.020,-0.025,-0.040,1.555,2.902,"PGA Championship",Southern Hills CC
"Hovland, Viktor",150,1.522,0.038,24,0.026,0.029,0.003,-0.088,-0.040,0.014,0.027,-0.006,0.035,1.525,2.878,"PGA Championship",Southern Hills CC
"Zalatoris, Will",150,1.183,0.070,25,0.023,0.017,0.032,0.119,-0.040,0.021,-0.017,-0.006,-0.003,1.402,2.865,"PGA Championship",Southern Hills CC
"Conners, Corey",150,1.408,0.023,30,0.008,-0.019,-0.026,0.007,-0.040,0.003,0.040,-0.007,0.036,1.396,2.860,"PGA Championship",Southern Hills CC
"Spieth, Jordan",150,1.069,0.121,28,0.013,-0.009,-0.027,0.169,-0.040,0.010,-0.018,-0.011,-0.019,1.276,2.940,"PGA Championship",Southern Hills CC
"Niemann, Joaquin",150,1.162,-0.052,23,0.030,0.053,0.033,0.082,-0.040,0.018,-0.014,-0.010,-0.006,1.261,2.866,"PGA Championship",Southern Hills CC
