player_name,sg_putt_pred,sg_putt_rank,sg_arg_pred,sg_arg_rank,sg_app_pred,sg_app_rank,sg_ott_pred,sg_ott_rank,sg_total_pred,sg_total_rank,distance_pred,distance_rank,accuracy_pred,accuracy_rank
"Nienaber, Wilco",0.027,173,-0.256,366,-0.605,357,0.104,125,-0.729,277,27.275,1,-0.111,406
"DeChambeau, Bryson",0.254,53,-0.190,315,-0.056,173,0.393,40,0.401,86,26.648,2,-0.077,378
"Champ, Cameron",-0.090,264,-0.253,365,0.113,102,0.741,3,0.511,72,22.951,3,-0.024,247
"McIlroy, Rory",0.240,58,0.305,5,0.655,14,0.777,2,1.977,5,22.753,4,-0.009,203
"Hojgaard, Nicolai",-0.174,324,-0.136,278,-0.040,165,0.308,64,-0.041,147,22.172,5,-0.095,398
"Moller, Niklas Norgaard",0.186,80,-0.277,375,-0.437,310,0.027,157,-0.501,226,20.415,6,-0.101,402
"Wolff, Matthew",0.178,83,-0.002,164,-0.194,229,-0.261,269,-0.280,194,20.288,7,-0.076,377
"Pendrith, Taylor",-0.003,195,0.013,154,0.072,119,0.524,21,0.606,63,18.853,8,-0.033,273
"Burmester, Dean",0.000,193,0.003,160,0.093,110,0.203,97,0.300,102,18.841,9,-0.091,396
"Gordon, Will",-0.275,362,-0.241,353,-0.266,264,0.094,129,-0.688,270,18.285,10,-0.065,357
"Fox, Ryan",0.077,148,-0.010,173,0.368,44,-0.040,179,0.394,89,18.108,11,-0.125,414
"Hagy, Brandon",-0.035,215,-0.133,276,-0.396,296,0.152,112,-0.413,211,17.983,12,-0.120,411
"Young, Cameron",0.055,161,0.105,85,0.290,55,0.715,5,1.165,21,17.889,13,0.008,160
"Rahm, Jon",0.210,72,0.085,96,0.741,10,1.145,1,2.181,1,17.706,14,0.042,65
"Clark, Wyndham",0.170,93,-0.001,163,-0.185,222,-0.007,169,-0.024,142,17.393,15,-0.089,395
"Vegas, Jhonattan",-0.034,213,-0.019,181,0.485,25,0.411,36,0.842,41,17.381,16,-0.031,268
"Schmid, Matthias",-0.261,351,-0.382,407,-0.053,171,0.377,42,-0.319,200,17.052,17,-0.043,310
"Bramlett, Joseph",-0.384,393,-0.057,205,0.205,74,0.315,61,0.080,124,16.635,18,-0.047,321
"Mullinax, Trey",-0.238,346,-0.119,260,-0.065,176,0.350,51,-0.072,154,16.367,19,-0.074,374
"Lee, Min Woo",0.044,164,0.035,139,-0.189,226,0.231,90,0.120,122,16.235,20,-0.045,318
"Brehm, Ryan",-0.314,377,-0.292,382,-0.236,247,0.150,113,-0.693,271,15.916,21,-0.115,408
"Mansell, Richard",-0.273,360,-0.219,339,-0.002,149,0.360,49,-0.135,165,14.978,22,-0.019,239
"List, Luke",-0.520,408,0.055,120,0.494,23,0.596,11,0.625,56,14.929,23,-0.035,286
"Johnson, Dustin",0.175,85,0.126,67,0.493,24,0.437,32,1.231,17,14.530,24,-0.034,280
"Crocker, Sean",-0.543,411,-0.252,363,0.040,135,0.162,110,-0.593,252,13.809,25,-0.023,245
"Shinkwin, Callum",0.020,178,-0.314,389,-0.308,277,0.397,38,-0.205,180,13.782,26,-0.063,350
"Thomas, Justin",0.273,48,0.308,4,0.969,1,0.471,26,2.021,3,13.502,27,-0.037,295
"Zalatoris, Will",-0.060,238,0.058,117,0.742,9,0.635,9,1.374,15,13.451,28,-0.029,258
"Koepka, Brooks",0.042,166,0.032,142,0.338,50,0.429,34,0.842,42,13.395,29,-0.045,317
"Hojgaard, Rasmus",-0.026,210,-0.007,168,0.172,83,0.030,154,0.170,118,13.233,30,-0.058,346
"Arnaus, Adri",0.414,10,-0.111,252,-0.089,189,0.007,162,0.220,109,13.055,31,-0.075,376
"Kitayama, Kurt",-0.160,317,-0.072,213,0.202,77,-0.002,165,-0.032,145,12.631,32,-0.080,385
"Rozner, Antoine",-0.314,376,-0.146,284,-0.138,205,0.102,126,-0.496,223,12.539,33,-0.032,270
"McCumber, Tyler",-0.216,338,-0.137,279,-0.256,261,-0.210,247,-0.818,289,12.476,34,-0.039,301
"Kokrak, Jason",0.257,51,-0.011,174,0.275,59,0.376,45,0.897,39,12.197,35,0.001,179
"Niemann, Joaquin",0.171,91,0.123,73,0.478,27,0.588,12,1.360,16,11.810,36,-0.024,246
"Scheffler, Scottie",0.374,19,0.342,1,0.835,3,0.516,22,2.067,2,11.458,37,0.003,174
"Canter, Laurie",-0.139,305,-0.299,385,0.146,95,0.468,27,0.176,116,11.160,38,-0.009,204
"Uihlein, Peter",0.060,158,0.089,94,-0.031,162,-0.104,205,0.015,132,11.081,39,-0.136,415
"Rodgers, Patrick",0.186,79,0.008,158,-0.024,158,0.128,117,0.299,103,10.847,40,-0.060,349
"Besseling, Wil",-0.100,270,-0.281,376,-0.191,228,0.422,35,-0.150,170,10.773,41,-0.000,184
"Barjon, Paul",-0.308,375,-0.354,400,-0.010,153,0.284,69,-0.387,206,10.739,42,-0.017,236
"Herbert, Lucas",0.518,4,0.063,111,-0.183,221,-0.250,265,0.148,120,10.709,43,-0.070,363
"Pulkkanen, Tapio",0.140,110,0.051,123,-0.312,279,-0.425,321,-0.546,236,10.695,44,-0.117,409
"Burns, Sam",0.411,11,0.107,83,0.457,29,0.233,88,1.209,19,10.503,45,-0.004,191
"Woodland, Gary",0.032,170,0.065,110,0.385,43,0.245,83,0.727,49,10.469,46,-0.034,276
"Mitchell, Keith",0.118,130,-0.005,166,0.029,139,0.471,25,0.613,61,10.415,47,-0.010,211
"Thompson, Curtis",-0.084,259,-0.184,308,-0.408,300,0.065,138,-0.611,254,10.327,48,-0.071,366
"Schauffele, Xander",0.289,41,0.164,51,0.644,15,0.462,29,1.559,9,10.280,49,0.026,102
"Stone, Brandon",-0.193,331,-0.355,401,-0.332,285,0.041,149,-0.839,291,9.857,50,-0.043,312
"Tway, Kevin",0.157,96,-0.000,162,-0.384,292,-0.183,235,-0.410,210,9.822,51,-0.086,390
"Forrest, Grant",0.172,90,-0.106,248,-0.541,343,0.046,147,-0.430,216,9.728,52,-0.065,356
"Garcia, Sergio",-0.016,203,0.059,116,0.419,36,0.540,18,1.002,31,9.659,53,0.012,149
"Murray, Grayson",-0.556,413,-0.192,319,-0.119,197,-0.063,191,-0.931,304,9.413,54,-0.084,389
"Hovland, Viktor",0.226,63,-0.247,359,0.821,5,0.692,8,1.493,12,9.219,55,0.047,54
"Ritchie, JC",-0.298,368,-0.321,394,-0.006,152,0.295,66,-0.331,202,9.065,56,-0.030,262
"Smith, Jordan",-0.128,300,-0.091,229,0.154,92,0.616,10,0.551,65,9.053,57,0.053,41
"Harrington, Scott",-0.143,308,-0.079,217,-0.586,351,-0.142,218,-0.950,309,8.837,58,-0.020,241
"Higgo, Garrick",0.065,155,-0.257,367,-0.307,276,-0.017,171,-0.517,231,8.756,59,-0.049,327
"Hossler, Beau",0.453,7,0.119,75,-0.501,336,-0.181,234,-0.111,159,8.716,60,-0.067,358
"Scott, Adam",0.322,35,-0.002,165,0.271,61,0.220,93,0.811,44,8.647,61,-0.030,263
"De Jager, Louis",-0.412,399,-0.020,182,-0.276,266,-0.277,274,-0.985,320,8.545,62,-0.072,369
"Detry, Thomas",0.139,111,-0.160,295,-0.205,231,0.047,146,-0.179,176,8.421,63,-0.048,323
"Davis, Cameron",0.128,122,-0.006,167,0.202,76,0.120,122,0.444,80,8.410,64,-0.036,293
"Long, Hurly",0.132,117,-0.012,175,-0.580,350,0.193,101,-0.267,188,8.308,65,-0.070,361
"Enoch, Rhys",-0.095,267,-0.295,383,-0.940,393,-0.324,288,-1.653,380,8.231,66,-0.101,404
"Wolfe, Jared",-0.113,283,-0.123,263,-0.142,206,-0.120,209,-0.498,224,8.224,67,-0.063,353
"Van Meijel, Lars",-0.191,329,-0.117,257,-0.436,306,-0.573,359,-1.318,357,8.221,68,-0.122,412
"An, Byeong Hun",-0.264,353,0.088,95,0.041,132,0.038,151,-0.097,158,8.172,69,-0.077,379
"Meronk, Adrian",0.277,45,-0.216,336,-0.163,212,0.573,16,0.471,75,7.989,70,-0.010,208
"Horsfield, Sam",0.185,81,-0.087,224,0.485,26,-0.053,183,0.530,68,7.908,71,-0.026,254
"Riley, Davis",0.215,69,0.037,136,-0.086,185,0.234,87,0.400,87,7.848,72,0.009,156
"Pieters, Thomas",-0.055,234,0.165,49,0.254,65,0.260,74,0.624,57,7.782,73,-0.017,235
"Coetzee, George",0.169,94,0.010,156,-0.238,251,0.033,152,-0.026,143,7.767,74,-0.055,342
"Lemke, Niklas",-0.093,266,-0.129,271,-0.416,302,-0.438,328,-1.076,332,7.759,75,-0.087,391
"Ventura, Kristoffer",0.067,154,-0.347,399,-0.807,378,-0.368,302,-1.456,364,7.750,76,-0.051,335
"Green, Gavin",0.327,34,-0.231,345,-0.488,330,-0.708,373,-1.100,336,7.623,77,-0.071,368
"Tree, Toby",-0.417,401,-0.388,409,-0.884,391,-0.252,266,-1.942,390,7.556,78,-0.096,399
"Colsaerts, Nicolas",-0.414,400,-0.406,413,-0.191,227,-0.562,356,-1.573,374,7.536,79,-0.049,331
"Cantlay, Patrick",0.314,36,0.264,9,0.703,11,0.704,6,1.985,4,7.525,80,0.005,167
"Homa, Max",0.122,127,-0.094,234,0.528,20,0.579,14,1.135,23,7.413,81,0.015,139
"Bjerregaard, Lucas",0.085,141,-0.103,243,-0.630,363,-0.725,375,-1.373,358,7.254,82,-0.101,403
"Finau, Tony",-0.014,200,0.125,68,0.464,28,0.537,19,1.112,24,7.221,83,-0.031,267
"Swafford, Hudson",0.012,185,-0.313,388,0.178,80,0.066,137,-0.056,150,7.155,84,0.003,175
"Smalley, Alex",-0.067,244,-0.130,272,0.148,94,0.391,41,0.342,98,7.116,85,0.015,138
"Chappell, Kevin",-0.059,237,-0.092,230,-0.110,194,-0.153,224,-0.414,212,7.032,86,-0.073,372
"Bradley, Keegan",0.015,182,0.131,66,0.553,17,0.468,28,1.167,20,6.991,87,0.032,94
"Heisele, Sebastian",-0.099,269,-0.358,404,-0.483,326,0.029,156,-0.911,301,6.986,88,-0.017,231
"Steele, Brendan",-0.269,358,-0.117,256,0.162,90,0.550,17,0.326,100,6.972,89,0.025,108
"Bertasio, Nino",-0.191,330,-0.298,384,0.070,121,-0.540,355,-0.959,312,6.808,90,-0.057,344
"Casey, Paul",-0.077,253,0.142,61,0.658,13,0.032,153,0.756,45,6.803,91,0.018,130
"Fisher, Ross",-0.423,402,-0.202,325,-0.070,177,0.450,31,-0.246,185,6.756,92,-0.029,259
