tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Thomas, Justin",14139,10700,0.1721,1,0,0,0,0,65.0,30,95.0
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Zalatoris, Will",19428,8900,0.1456,2,3,3,0,0,65.0,20,91.0
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Young, Cameron",26651,7600,0.1359,T3,0,3,0,0,65.5,18,86.5
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Pereira, Mito",19455,6700,0.1,T3,0,0,0,0,67.5,18,85.5
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Fleetwood, Tommy",12294,7600,0.0924,T5,3,0,0,0,66.0,14,83.0
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"McIlroy, Rory",10091,10000,0.2218,8,6,0,0,0,64.0,9,79.0
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Kirk, Chris",12423,6900,0.0216,T5,0,3,0,0,61.0,14,78.0
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Fitzpatrick, Matt",17646,7900,0.1635,T5,0,0,0,0,60.0,14,74.0
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Hoge, Tom",15575,7100,0.042,T9,3,0,0,0,62.0,8,73.0
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Steele, Brendan",11019,6700,0.0033,T9,0,0,0,0,62.5,8,70.5
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Rose, Justin",6093,7200,0.0241,T13,3,0,0,0,59.0,6,68.0
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Hatton, Tyrrell",14796,8100,0.0806,T13,3,0,0,0,59.0,6,68.0
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Smith, Cameron",15856,9700,0.1994,T13,3,0,0,0,59.0,6,68.0
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Simpson, Webb",11049,7800,0.0179,T20,3,0,0,0,58.5,5,66.5
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Riley, Davis",19872,6800,0.0399,T13,0,0,0,0,59.5,6,65.5
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Harman, Brian",8825,7000,0.0306,T34,3,0,0,0,60.0,2,65.0
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Herbert, Lucas",17064,6800,0.0019,T13,0,0,0,0,59.0,6,65.0
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Homa, Max",17538,8100,0.1385,T13,3,0,0,0,56.0,6,65.0
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Power, Seamus",10104,7000,0.0403,T9,0,0,0,0,55.5,8,63.5
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Ancer, Abraham",18238,7800,0.0286,T9,0,0,0,0,55.0,8,63.0
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Watson, Bubba",7334,7300,0.0095,T30,3,0,0,0,56.5,3,62.5
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Wise, Aaron",22051,6800,0.0434,T23,0,0,0,0,58.5,4,62.5
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Wiesberger, Bernd",9531,6600,0.0059,T30,0,0,0,0,59.0,3,62.0
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Niemann, Joaquin",18079,8500,0.1247,T23,0,0,0,0,57.0,4,61.0
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"List, Luke",7960,7200,0.0117,T41,0,0,0,0,59.0,1,60.0
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Burns, Sam",19483,8800,0.0687,T20,3,0,0,0,51.5,5,59.5
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Cink, Stewart",5665,6700,0.0076,T23,0,0,0,0,55.5,4,59.5
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Schauffele, Xander",19895,9300,0.1834,T13,0,0,0,0,52.5,6,58.5
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Gooch, Talor",18580,7400,0.0813,T20,0,0,0,0,53.0,5,58.0
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Na, Kevin",7452,6900,0.0319,T23,0,0,0,0,53.0,4,57.0
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Kuchar, Matt",6169,6800,0.0725,T34,0,0,0,0,53.5,2,55.5
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Mitchell, Keith",17365,6600,0.0256,T34,0,0,0,0,53.0,2,55.0
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Glover, Lucas",7399,6500,0.0037,T23,0,0,0,0,51.0,4,55.0
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Finau, Tony",11676,7900,0.1159,T30,0,0,0,0,51.0,3,54.0
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Lowry, Shane",13900,8700,0.1757,T23,0,3,0,0,46.5,4,53.5
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Woodland, Gary",12577,7300,0.051,T34,0,0,0,0,50.0,2,52.0
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Fowler, Rickie",12965,7000,0.0175,T23,0,0,0,0,47.5,4,51.5
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Leishman, Marc",7649,7700,0.0383,T34,0,0,0,0,49.5,2,51.5
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Spieth, Jordan",14636,9600,0.2575,T34,0,0,0,0,49.0,2,51.0
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Schenk, Adam",19477,6400,0.0012,T41,0,0,0,0,50.0,1,51.0
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Arnaus, Adri",23236,6700,0.0068,T30,0,0,0,0,47.5,3,50.5
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Reed, Patrick",14838,7200,0.0379,T34,0,0,0,0,47.5,2,49.5
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Varner III, Harold",16602,7000,0.0708,T48,0,0,0,0,48.5,1,49.5
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Streelman, Kevin",8480,6800,0.0045,T41,0,0,0,0,48.0,1,49.0
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Tringale, Cameron",14013,7100,0.0149,T41,0,0,0,0,48.0,1,49.0
pga,2022,2022,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA),"Lee, K.H.",13497,6500,0.0228,T41,0,0,0,0,47.5,1,48.5
