"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","top_20","top_10","top_5","win","odds_per_dollar","one","residuals","own_change","adj_own","total_pts"
"1","Scottie Scheffler",22549457,11400,95.57,0.0846,0.0759,1,-0.0087,-0.1028,66.53,15.4,85.5,28.5,0.8267,0.4785,0.3135,0.1938,0.0556,6.66,1,0.44,3.81,19,0
"2","Jon Rahm",22549458,11200,86.25,0.0696,0.0656,2,-0.00399999999999999,-0.0575,71.46,11.6,89.5,51.5,0.8328,0.4975,0.3333,0.211,0.0632,5.86,1,-0.11,3.07,15,0
"3","Justin Thomas",22549459,10700,101.35,0.0572,0.0508,4,-0.0064,-0.1119,70.07,14.5,89,34.5,0.8084,0.4348,0.271,0.1618,0.0432,4.75,1,-0.58,1.85,16,0
"4","Collin Morikawa",22549460,10400,87.38,0.0569,0.042,6,-0.0149,-0.2619,55.87,8.9,77.5,24.5,0.7625,0.3534,0.2128,0.1206,0.0284,4.04,1,-0.9,0.7,10,0
"5","Rory McIlroy",22549461,10000,88.04,0.0598,0.058,3,-0.0018,-0.0301,66.47,18.7,86,28,0.811,0.4545,0.295,0.1799,0.0501,5.8,1,1.4,5.88,25,0
"6","Viktor Hovland",22549462,9900,95.93,0.045,0.033,11,-0.012,-0.2667,58.47,12,80.5,24.5,0.7449,0.3289,0.1862,0.1033,0.0219,3.33,1,-0.93,0.66,13,0
"7","Cameron Smith",22549463,9700,91.25,0.043,0.0392,10,-0.0038,-0.0884,59.77,17.4,80,25,0.7537,0.3378,0.1972,0.1088,0.0256,4.04,1,0.05,2.97,20,0
"8","Jordan Spieth",22549464,9600,75.62,0.0467,0.0482,5,0.0015,0.0321,61.35,24.8,81,26,0.7015,0.2747,0.1515,0.0809,0.016,5.02,1,1.17,5.47,30,0
"9","Dustin Johnson",22549465,9500,68.25,0.0529,0.0293,12,-0.0236,-0.4461,58.9,4.8,79,25.5,0.6997,0.2732,0.1506,0.0789,0.0162,3.08,1,-0.63,0.89,6,0
"10","Xander Schauffele",22549466,9300,85.62,0.0362,0.0405,9,0.0043,0.1188,63.69,17.1,83,27,0.7653,0.3571,0.2096,0.116,0.0274,4.35,1,0.93,5.2,22,0
