"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"1","Scottie Scheffler",22549457,11400,95.57,0.0846,0.0769,1,-0.0077,-0.091,66.53,15.4,85.5,28.5,0.802,0.0224,0.5661,0.4509,0.2935,0.1821,0.1216,0.0502,100,6.75,0.51,-11.21,4,0.1688,22.5,"2022-05-22","PGA Championship"
"2","Jon Rahm",22549458,11200,86.25,0.0697,0.0648,2,-0.0049,-0.0703,71.46,11.6,89.5,51.5,0.8122,0.0239,0.5821,0.4694,0.3093,0.1926,0.1333,0.0556,48,5.79,-0.2,-5.84,6,0.1073,45,"2022-05-22","PGA Championship"
"3","Justin Thomas",22549459,10700,101.35,0.0572,0.0502,4,-0.007,-0.1224,70.07,14.5,89,34.5,0.7831,0.0196,0.528,0.4136,0.2583,0.1515,0.0991,0.0385,1,4.69,-0.67,-10.14,4,0.1721,95,"2022-05-22","PGA Championship"
"4","Collin Morikawa",22549460,10400,87.38,0.0569,0.0421,7,-0.0148,-0.2601,55.87,8.9,77.5,24.5,0.7335,0.0156,0.447,0.3338,0.198,0.1096,0.0689,0.0244,55,4.05,-0.92,-25.61,0,0.0916,45.5,"2022-05-22","PGA Championship"
"5","Rory McIlroy",22549461,10000,88.04,0.0599,0.0601,3,0.000199999999999999,0.0033,66.47,18.7,86,28,0.8326,0.0314,0.5896,0.477,0.3129,0.194,0.1354,0.0582,8,6.01,1.58,4.87,24,0.2218,79,"2022-05-22","PGA Championship"
"6","Viktor Hovland",22549462,9900,95.93,0.045,0.0324,11,-0.0126,-0.28,58.47,12,80.5,24.5,0.7752,0.0203,0.4708,0.3546,0.2059,0.1156,0.0738,0.0263,41,3.27,-1.02,-21.19,0,0.1241,44,"2022-05-22","PGA Championship"
"7","Cameron Smith",22549463,9700,91.25,0.043,0.0432,6,0.000200000000000006,0.0047,59.77,17.4,80,25,0.7741,0.0207,0.4719,0.3581,0.2138,0.1239,0.0804,0.0308,13,4.45,0.44,4.53,22,0.1994,68,"2022-05-22","PGA Championship"
"8","Jordan Spieth",22549464,9600,75.62,0.0467,0.0484,5,0.0017,0.0364,61.35,24.8,81,26,0.7298,0.0179,0.4077,0.2974,0.1662,0.0898,0.0565,0.0199,34,5.04,1.17,7.76,32,0.2575,51,"2022-05-22","PGA Championship"
"9","Dustin Johnson",22549465,9500,68.25,0.0529,0.0289,12,-0.024,-0.4537,58.9,4.8,79,25.5,0.6744,0.0104,0.3514,0.2496,0.1343,0.0707,0.044,0.0147,100,3.04,-0.69,-43.38,0,0.0802,18.5,"2022-05-22","PGA Championship"
"10","Xander Schauffele",22549466,9300,85.62,0.0362,0.0407,8,0.0045,0.1243,63.69,17.1,83,27,0.7854,0.0216,0.4968,0.3796,0.2257,0.1298,0.084,0.0318,13,4.38,0.94,13.34,30,0.1834,58.5,"2022-05-22","PGA Championship"
"11","Hideki Matsuyama",22549467,9200,90.43,0.028,0.0401,10,0.0121,0.4321,55.12,19.5,76.5,24.5,0.794,0.0232,0.5094,0.3955,0.2405,0.1393,0.0911,0.0354,60,4.36,1.07,29.27,48,0.1829,42.5,"2022-05-22","PGA Championship"
"12","Patrick Cantlay",22549468,9100,89.94,0.0469,0.0401,10,-0.0068,-0.145,68.22,16.5,86.5,31.5,0.778,0.0206,0.5217,0.407,0.2543,0.1518,0.1018,0.039,100,4.41,1.27,-9.13,8,0.1803,10,"2022-05-22","PGA Championship"
"13","Brooks Koepka",22549469,9000,57.92,0.0498,0.0185,16,-0.0313,-0.6285,53.07,5.3,75.08,23,0.6353,0.0081,0.2967,0.2014,0.1006,0.0503,0.03,0.0096,55,2.06,-0.93,-57.3,0,0.0563,45,"2022-05-22","PGA Championship"
"14","Will Zalatoris",22549470,8900,71.08,0.0278,0.0222,14,-0.0056,-0.2014,57.98,18.1,79,25,0.7552,0.0174,0.4341,0.322,0.1797,0.0969,0.0595,0.0206,2,2.49,-0.35,-7.14,10,0.1456,91,"2022-05-22","PGA Championship"
"15","Sam Burns",22549471,8800,78.71,0.0258,0.0199,15,-0.0059,-0.2287,53.49,9.9,75.5,24,0.7172,0.0168,0.3801,0.272,0.1464,0.0781,0.048,0.0173,20,2.26,-0.43,-7.72,2,0.0687,59.5,"2022-05-22","PGA Championship"
"16","Shane Lowry",22549472,8700,74.46,0.032,0.0254,13,-0.0066,-0.2063,62.1,20.9,82,26,0.7306,0.0134,0.4341,0.3248,0.188,0.1039,0.0643,0.022,23,2.92,0.39,-8.91,12,0.1757,53.5,"2022-05-22","PGA Championship"
