,Name,ID,Salary,fpts,total_pts,odds_open,odds_close,odds_delta,odds_delta_per,odds_rank,proj_own,own_change,own
8,Jordan Spieth,22549464,9600,61.35,56.7,0.0467,0.0482,0.0015,0.0321,5,24.8,5.47,0.3
30,Cameron Young,22549489,7600,52.29,55.61,0.0109,0.0143,0.0034,0.3119,20,25.4,4.94,0.3
5,Rory McIlroy,22549461,10000,66.47,67.05,0.0598,0.058,-0.0018,-0.0301,3,18.7,5.88,0.25
16,Shane Lowry,22549472,8700,62.1,56.7,0.032,0.0246,-0.0074,-0.2313,13,20.9,3.2,0.24
10,Xander Schauffele,22549466,9300,63.69,53.85,0.0362,0.0405,0.0043,0.1188,9,17.1,5.2,0.22
12,Patrick Cantlay,22549468,9100,68.22,67.39,0.0469,0.0406,-0.0063,-0.1343,8,16.5,5.57,0.22
24,Tony Finau,22549483,7900,54.45,50.5,0.0292,0.0163,-0.0129,-0.4418,19,17.4,3.26,0.21
21,Max Homa,22549479,8100,50.84,50.5,0.0134,0.0135,1.00E-04,0.0075,22,14.6,2.9,0.18
22,Corey Conners,22549480,8000,58.42,50.5,0.0163,0.0165,0.0002,0.0123,18,14.2,3.98,0.18
18,Joaquin Niemann,22549474,8500,56.63,51.99,0.0221,0.0176,-0.0045,-0.2036,17,14.4,2.25,0.17
52,Alex Noren,22549514,7000,52.28,44.08,0.0057,0.0084,0.0027,0.4737,36,12.6,4.8,0.17
3,Justin Thomas,22549459,10700,70.07,72.26,0.0572,0.0508,-0.0064,-0.1119,4,14.5,1.85,0.16
2,Jon Rahm,22549458,11200,71.46,72.26,0.0696,0.0656,-0.004,-0.0575,2,11.6,3.07,0.15
31,Keegan Bradley,22549490,7500,53.98,46.83,0.0088,0.0117,0.0029,0.3295,25,8.2,4.51,0.13
14,Will Zalatoris,22549470,8900,57.98,51.99,0.0278,0.0226,-0.0052,-0.1871,14,18.1,2.07,0.12
15,Sam Burns,22549471,8800,53.49,51.99,0.0258,0.0201,-0.0057,-0.2209,15,9.9,1.73,0.12
29,Tommy Fleetwood,22549488,7600,54.99,50.5,0.0134,0.0101,-0.0033,-0.2463,28,9.5,2.75,0.12
33,Talor Gooch,22549492,7400,50.87,46.83,0.0144,0.0082,-0.0062,-0.4306,38,9.3,2.2,0.12
36,Gary Woodland,22549496,7300,49.7,50.75,0.0151,0.0064,-0.0087,-0.5762,46,10.6,1.59,0.12
38,Jason Kokrak,22549498,7300,49.05,44.13,0.0087,0.0092,5.00E-04,0.0575,30,7.6,3.6,0.11
45,Russell Henley,22549505,7200,53.1,46.83,0.0067,0.0103,0.0036,0.5373,27,5.9,5.08,0.11
19,Tiger Woods,22549477,8200,37.39,57.77,0.0246,0.0129,-0.0117,-0.4756,24,8.5,1.33,0.1
20,Tyrrell Hatton,22549478,8100,53.02,51.99,0.0134,0.0116,-0.0018,-0.1343,26,8.1,2.16,0.1
23,Louis Oosthuizen,22549481,8000,57.16,50.5,0.0282,0.0131,-0.0151,-0.5355,23,7.5,2.02,0.1
34,Billy Horschel,22549493,7400,48.62,44.13,0.0099,0.0091,-8.00E-04,-0.0808,32,7.1,3.12,0.1
17,Daniel Berger,22549473,8600,60.53,51.99,0.0216,0.0139,-0.0077,-0.3565,21,7.8,0.8,0.09
27,Adam Scott,22549486,7700,49.32,49.29,0.0119,0.0077,-0.0042,-0.3529,40,7.4,1.66,0.09
26,Abraham Ancer,22549485,7800,47.97,49.29,0.0126,0.007,-0.0056,-0.4444,45,6.7,1.09,0.08
48,Maverick McNealy,22549508,7100,50.02,44.08,0.0081,0.0072,-9.00E-04,-0.1111,44,4.7,3.08,0.08
53,Harold Varner III,22549515,7000,49.65,41.39,0.0084,0.0086,0.0002,0.0238,34,4.3,3.94,0.08
6,Viktor Hovland,22549462,9900,58.47,53.88,0.045,0.033,-0.012,-0.2667,11,12,0.66,0.07
41,Sergio Garcia,22549501,7200,53.74,46.83,0.0114,0.0082,-0.0032,-0.2807,38,4.5,2.87,0.07
43,Si Woo Kim,22549503,7200,48.88,44.13,0.0083,0.0077,-6.00E-04,-0.0723,40,4.2,3.1,0.07
28,Marc Leishman,22549487,7700,50.24,51.99,0.0104,0.0048,-0.0056,-0.5385,64,5.3,0.53,0.06
55,Seamus Power,22549517,7000,53.45,44.08,0.0103,0.0097,-6.00E-04,-0.0583,29,1.6,4.13,0.06
56,Brian Harman,22549518,7000,51.12,44.08,0.0067,0.0063,-4.00E-04,-0.0597,48,2.9,3.13,0.06
13,Brooks Koepka,22549469,9000,53.07,51.99,0.0498,0.0185,-0.0313,-0.6285,16,5.3,-0.14,0.05
32,Jason Day,22549491,7500,49.09,44.13,0.0111,0.0087,-0.0024,-0.2162,33,2.5,2.57,0.05
44,Luke List,22549504,7200,46.12,48.05,0.0059,0.0049,-0.001,-0.1695,63,3.3,2.1,0.05
58,Christiaan Bezuidenhout,22549520,7000,47.04,41.39,0.0056,0.0055,-1.00E-04,-0.0179,56,2.3,2.95,0.05
39,Justin Rose,22549499,7200,47.37,45.62,0.0104,0.0055,-0.0049,-0.4712,56,2.2,1.66,0.04
40,Patrick Reed,22549500,7200,41.32,45.62,0.0114,0.0048,-0.0066,-0.5789,64,2.7,1.2,0.04
46,Thomas Pieters,22549506,7100,46.31,42.88,0.0056,0.0051,-5.00E-04,-0.0893,60,1.8,2.5,0.04
1,Scottie Scheffler,22549457,11400,66.53,61.94,0.0846,0.0759,-0.0087,-0.1028,1,15.4,3.81,0.03
37,Bubba Watson,22549497,7300,44.6,50.37,0.0067,0.0051,-0.0016,-0.2388,60,1.6,1.84,0.03
42,Sepp Straka,22549502,7200,42.98,45.62,0.0055,0.005,-5.00E-04,-0.0909,62,1.2,2.24,0.03
49,Cameron Tringale,22549511,7100,49.21,42.88,0.0056,0.0046,-0.001,-0.1786,68,1.1,2.21,0.03
4,Collin Morikawa,22549460,10400,55.87,53.88,0.0569,0.042,-0.0149,-0.2619,6,8.9,0.7,0.02
9,Dustin Johnson,22549465,9500,58.9,51.99,0.0529,0.0293,-0.0236,-0.4461,12,4.8,0.89,0.02
11,Hideki Matsuyama,22549467,9200,55.12,49.03,0.028,0.0407,0.0127,0.4536,7,19.5,6.2,0.02
25,Webb Simpson,22549484,7800,50.43,49.29,0.0126,0.0055,-0.0071,-0.5635,56,1.4,0.49,0.02
47,Erik Van Rooyen,22549507,7100,45.35,41.39,0.0086,0.0074,-0.0012,-0.1395,43,1.5,3.03,0.02
50,Tom Hoge,22549512,7100,46.98,41.39,0.0081,0.0076,-5.00E-04,-0.0617,42,5,3.26,0.02
54,Ian Poulter,22549516,7000,43.18,45.31,0.0048,0.0036,-0.0012,-0.25,80,0.48,1.88,0.02
35,Matthew Wolff,22549495,7300,30.22,39.71,0.0069,0.0024,-0.0045,-0.6522,100,0.74,0.1,0.01
51,Lee Westwood,22549513,7000,39.13,47.88,0.0064,0.0019,-0.0045,-0.7031,107,0.48,0.45,0.01
57,Rickie Fowler,22549519,7000,40.53,45.31,0.0105,0.0027,-0.0078,-0.7429,95,0.45,0.63,0.01
7,Cameron Smith,22549463,9700,59.77,43.91,0.043,0.0392,-0.0038,-0.0884,10,17.4,2.97,0
59,Robert Macintyre,22549521,6900,46.14,41.39,0.0068,0.0046,-0.0022,-0.3235,68,8.2,2.23,0
60,Francesco Molinari,22549522,6900,40.06,45.31,0.0042,0.0031,-0.0011,-0.2619,88,0.64,1.85,0
61,Ryan Palmer,22549523,6900,47.8,42.88,0.0042,0.0036,-6.00E-04,-0.1429,80,1.9,2.3,0
62,Chris Kirk,22549524,6900,50.8,41.39,0.0055,0.0063,8.00E-04,0.1455,48,4.4,3.69,0
63,Kevin Na,22549525,6900,44.92,41.39,0.0062,0.0062,0,0,50,1.5,3.33,0
64,Martin Kaymer,22549526,6900,36.12,47.88,0.0034,0.0013,-0.0021,-0.6176,118,0.03,0.57,0
65,Jhonattan Vegas,22549527,6900,51.95,44.08,0.0059,0.0057,-2.00E-04,-0.0339,53,1.7,3.19,0
66,Cameron Champ,22549528,6900,39.66,41.39,0.0075,0.0059,-0.0016,-0.2133,52,1.8,2.76,0
67,Charl Schwartzel,22677978,6900,39.47,41.72,0.0042,0.0027,-0.0015,-0.3571,95,0.73,1.53,0
68,Sebastian Munoz,22549529,6800,48.38,41.39,0.0046,0.0092,0.0046,1,30,7.3,6.42,0
69,Kevin Streelman,22549530,6800,49.12,45.31,0.0034,0.0027,-7.00E-04,-0.2059,95,0.71,2.11,0
70,Hudson Swafford,22549531,6800,38.24,36.97,0.0018,0.0015,-3.00E-04,-0.1667,113,0.14,1.73,0
71,Aaron Wise,22549532,6800,50.04,44.08,0.0046,0.0085,0.0039,0.8478,35,3.8,5.93,0
72,Nicolai Hojgaard,22549533,6800,40.93,45.82,0.0021,0.002,-1.00E-04,-0.0476,106,0.12,2.13,0
73,Matt Kuchar,22549534,6800,43.91,41.39,0.0043,0.0046,3.00E-04,0.0698,68,4.7,3.16,0
74,Lucas Herbert,22549535,6800,37.35,45.31,0.0028,0.0023,-5.00E-04,-0.1786,102,0.13,1.92,0
75,Kevin Kisner,22549536,6800,40.41,42.88,0.0054,0.0031,-0.0023,-0.4259,88,0.4,1.7,0
76,Davis Riley,22549537,6800,44.77,41.39,0.0042,0.0044,0.0002,0.0476,70,5.2,3.08,0
77,Joel Dahmen,22677982,6800,44.6,41.39,0.0056,0.0047,-9.00E-04,-0.1607,66,0.58,2.74,0
78,Mito Pereira,22549538,6700,50.66,41.39,0.0087,0.0083,-0.0004,-0.046,37,10.4,4.24,0
79,Min Woo Lee,22549539,6700,38.27,47.63,0.0022,0.0022,0,0,104,0.31,2.39,0
80,Cameron Davis,22549540,6700,44.77,43.82,0.0043,0.0037,-6.00E-04,-0.1395,79,0.97,2.63,0
81,Branden Grace,22549541,6700,41.25,47.63,0.0048,0.0028,-0.002,-0.4167,93,0.19,1.77,0
