bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+1200,2022-05-19 07:47,18417,+1082,2022-05-16 11:59,CUT,"Scheffler, Scottie",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+1444,2022-05-19 07:47,19195,+1335,2022-05-16 11:59,T48,"Rahm, Jon",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+1563,2022-05-19 07:47,10091,+1570,2022-05-16 11:59,8,"McIlroy, Rory",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
1,paid in full,+1893,2022-05-19 07:47,14139,+1647,2022-05-16 11:59,1,"Thomas, Justin",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+1966,2022-05-19 07:47,14636,+2040,2022-05-16 11:59,T34,"Spieth, Jordan",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+2217,2022-05-19 07:47,15856,+2227,2022-05-16 11:59,T13,"Smith, Cameron",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+2276,2022-05-19 07:47,22085,+1656,2022-05-16 11:59,T55,"Morikawa, Collin",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+2360,2022-05-19 07:47,19895,+2662,2022-05-16 11:59,T13,"Schauffele, Xander",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+2392,2022-05-19 07:47,15466,+2031,2022-05-16 11:59,CUT,"Cantlay, Patrick",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+2396,2022-05-19 07:47,13562,+3474,2022-05-16 11:59,T60,"Matsuyama, Hideki",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+2988,2022-05-19 07:47,18841,+2121,2022-05-16 11:59,T41,"Hovland, Viktor",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+3359,2022-05-19 07:47,12422,+1789,2022-05-16 11:59,CUT,"Johnson, Dustin",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+3830,2022-05-19 07:47,13900,+3028,2022-05-16 11:59,T23,"Lowry, Shane",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+4412,2022-05-19 07:47,19428,+3494,2022-05-16 11:59,2,"Zalatoris, Will",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+4583,2022-05-19 07:47,17646,+5362,2022-05-16 11:59,T5,"Fitzpatrick, Matthew",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+4925,2022-05-19 07:47,19483,+3774,2022-05-16 11:59,T20,"Burns, Sam",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+5296,2022-05-19 07:47,16243,+1908,2022-05-16 11:59,T55,"Koepka, Brooks",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+5676,2022-05-19 07:47,18079,+4416,2022-05-16 11:59,T23,"Niemann, Joaquin",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+6071,2022-05-19 07:47,17576,+6027,2022-05-16 11:59,CUT,"Conners, Corey",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+6152,2022-05-19 07:47,11676,+3326,2022-05-16 11:59,T30,"Finau, Tony",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+6916,2022-05-19 07:47,26651,+8425,2022-05-16 17:14,T3,"Young, Cameron",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+7095,2022-05-19 07:47,17606,+4525,2022-05-16 11:59,CUT,"Berger, Daniel",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+7427,2022-05-19 07:47,17538,+7357,2022-05-16 11:59,T13,"Homa, Max",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+7533,2022-05-19 07:47,7672,+3451,2022-05-16 11:59,T60,"Oosthuizen, Louis",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+7794,2022-05-19 07:47,5321,+3963,2022-05-16 11:59,WD,"Woods, Tiger",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+8588,2022-05-19 07:47,13872,+11233,2022-05-16 11:59,T48,"Bradley, Keegan",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+8711,2022-05-19 07:47,14796,+7344,2022-05-16 11:59,T13,"Hatton, Tyrrell",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+9652,2022-05-19 07:47,12294,+7374,2022-05-16 11:59,T5,"Fleetwood, Tommy",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+9751,2022-05-19 07:47,14578,+14763,2022-05-16 11:59,T60,"Henley, Russell",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+10412,2022-05-19 07:47,10104,+8888,2022-05-16 17:14,T9,"Power, Seamus",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+10631,2022-05-19 07:47,12337,+11428,2022-05-16 11:59,T60,"Kokrak, Jason",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+10779,2022-05-19 07:47,11276,+10018,2022-05-16 11:59,68,"Horschel, Billy",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+10933,2022-05-19 07:47,20770,+21785,2022-05-16 11:59,T55,"Munoz, Sebastian",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+11143,2022-05-19 07:47,22051,+21811,2022-05-16 11:59,T23,"Wise, Aaron",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+11160,2022-05-19 07:47,14609,+11872,2022-05-16 11:59,T60,"Kim, Si Woo",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+11305,2022-05-19 07:47,9771,+8913,2022-05-16 11:59,T55,"Day, Jason",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+11334,2022-05-19 07:47,10419,+19684,2022-05-16 11:59,CUT,"Noren, Alex",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+11726,2022-05-19 07:47,16602,+11817,2022-05-16 11:59,T48,"Varner III, Harold",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+12039,2022-05-19 07:47,15575,+11387,2022-05-16 17:14,T9,"Hoge, Tom",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+12193,2022-05-19 07:47,19455,+10503,2022-05-16 17:14,T3,"Pereira, Mito",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+12279,2022-05-19 07:47,5689,+8653,2022-05-16 11:59,CUT,"Garcia, Sergio",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+12325,2022-05-19 07:47,18580,+6837,2022-05-16 11:59,T20,"Gooch, Talor",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
0,loss,+13049,2022-05-19 07:47,6430,+8311,2022-05-16 11:59,CUT,"Scott, Adam",pinnacle,2022-05-22,PGA Championship,win,2022,2022,33
