tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2022,2022,PGA Championship,33,"Thomas, Justin",14139,1,1,Southern Hills Country Club,611,67,3.182,0.61,1.838,0.203,2.651,5.833,310.1,0.5,0.611,0.714,36.597,29.639
pga,2022,2022,PGA Championship,33,"Thomas, Justin",14139,1,2,Southern Hills Country Club,611,67,1.927,0.295,2.416,0.964,3.676,5.603,312.1,0.643,0.889,0.5,43.187,26.996
pga,2022,2022,PGA Championship,33,"Thomas, Justin",14139,1,3,Southern Hills Country Club,611,74,0.179,-0.113,-1.533,-0.014,-1.66,-1.481,291.8,0.571,0.611,0.571,33.481,37.06
pga,2022,2022,PGA Championship,33,"Thomas, Justin",14139,1,4,Southern Hills Country Club,611,67,1.036,2.465,-0.618,1.476,3.323,4.359,309.2,0.714,0.667,0.857,43.1,55.157
pga,2022,2022,PGA Championship,33,"Zalatoris, Will",19428,2,1,Southern Hills Country Club,611,66,3.597,0.335,2.154,0.747,3.236,6.833,314.5,0.5,0.889,0.667,21.293,31.519
pga,2022,2022,PGA Championship,33,"Zalatoris, Will",19428,2,2,Southern Hills Country Club,611,65,2.583,1.475,2.943,0.601,5.02,7.603,309.7,0.5,0.667,1.0,39.007,24.139
pga,2022,2022,PGA Championship,33,"Zalatoris, Will",19428,2,3,Southern Hills Country Club,611,73,-1.436,0.778,0.072,0.105,0.955,-0.481,305.9,0.429,0.611,0.444,43.932,44.373
pga,2022,2022,PGA Championship,33,"Zalatoris, Will",19428,2,4,Southern Hills Country Club,611,71,-0.088,-0.061,-0.037,0.545,0.447,0.359,308.1,0.643,0.722,0.714,35.148,44.524
pga,2022,2022,PGA Championship,33,"Pereira, Mito",19455,T3,1,Southern Hills Country Club,611,68,-0.251,1.542,2.746,0.796,5.084,4.833,303.6,0.786,0.833,0.667,48.976,24.569
pga,2022,2022,PGA Championship,33,"Pereira, Mito",19455,T3,2,Southern Hills Country Club,611,64,3.874,0.571,2.43,1.727,4.729,8.603,315.4,0.786,0.778,0.8,45.977,19.989
pga,2022,2022,PGA Championship,33,"Pereira, Mito",19455,T3,3,Southern Hills Country Club,611,69,3.411,-0.186,0.088,0.206,0.108,3.519,294.3,0.786,0.611,0.571,88.584,34.493
