player_name,sample_size,DG_odds,pinnacle_odds,pinnacle_ev
"Thomas, Justin",150,+1180,+1333,0.120
"Scheffler, Scottie",150,+1551,+1144,-0.246
"Spieth, Jordan",150,+2083,+1388,-0.318
"Morikawa, Collin",150,+2200,+1847,-0.154
"Im, Sungjae",150,+2830,+3167,0.115
"Hovland, Viktor",150,+3236,+2295,-0.282
"Zalatoris, Will",150,+3659,+3062,-0.159
"Kirk, Chris",150,+3994,+4288,0.072
"Burns, Sam",150,+4224,+3047,-0.272
"Finau, Tony",150,+4354,+4061,-0.066
"Na, Kevin",150,+4477,+4043,-0.095
"Varner III, Harold",150,+4567,+4682,0.025
"Gooch, Talor",150,+4573,+3789,-0.168
"Homa, Max",150,+4951,+3492,-0.289
"Horschel, Billy",150,+5184,+5423,0.045
"Fleetwood, Tommy",150,+5284,+4366,-0.170
"Berger, Daniel",150,+5357,+4375,-0.180
"Harman, Brian",150,+5647,+5064,-0.101
"Munoz, Sebastian",150,+6239,+6362,0.019
"Hoge, Tom",150,+6645,+6921,0.041
"Ancer, Abraham",150,+7056,+4308,-0.384
"Pereira, Mito",150,+7081,+6737,-0.048
"Kokrak, Jason",150,+7349,+4747,-0.349
"Pan, C.T.",150,+8080,+8943,0.106
"Simpson, Webb",150,+8303,+4462,-0.457
"McNealy, Maverick",150,+8539,+8162,-0.044
"Rose, Justin",150,+8691,+5825,-0.326
"Tringale, Cameron",150,+9202,+8218,-0.106
"Woodland, Gary",150,+9900,+7573,-0.233
"Lee, Kyounghoon",150,+10538,+10538,-0.000
"Merritt, Troy",150,+11073,+10313,-0.068
"Long, Adam",150,+11264,+12148,0.078
"Kisner, Kevin",150,+11985,+9923,-0.171
"Bezuidenhout, Christiaan",150,+12132,+11512,-0.051
"Ghim, Doug",150,+12680,+12711,0.002
"Palmer, Ryan",150,+13278,+12084,-0.089
"Spaun, J.J.",150,+13552,+12691,-0.063
"Knox, Russell",150,+13837,+14493,0.047
"Reed, Patrick",150,+13886,+9468,-0.316
"Van Rooyen, Erik",150,+14715,+10218,-0.304
"NeSmith, Matthew",150,+14825,+14943,0.008
"Hubbard, Mark",150,+14938,+15412,0.032
"Glover, Lucas",150,+16094,+11661,-0.274
"Poston, J.T.",150,+16361,+17023,0.040
"McCarthy, Denny",150,+16498,+15426,-0.065
"Riley, Davis",150,+16994,+5334,-0.682
"Dahmen, Joel",150,+17678,+15384,-0.129
"Streelman, Kevin",150,+17757,+16307,-0.081
"Sabbatini, Rory",150,+18419,+11649,-0.366
"Rai, Aaron",150,+18679,+12094,-0.351
"Lipsky, David",150,+19224,+19419,0.010
"Herbert, Lucas",150,+20413,+16448,-0.193
"Kizzire, Patton",150,+21405,+20759,-0.030
"Cink, Stewart",150,+21405,+13287,-0.378
"Jones, Matt",150,+21405,+17263,-0.193
"Davis, Cameron",150,+21758,+16361,-0.247
"Fowler, Rickie",150,+22246,+16627,-0.251
"Lashley, Nate",150,+23021,+21638,-0.060
"Todd, Brendon",150,+23021,+12427,-0.458
