player_name,sample_size,DG_odds,pinnacle_odds,pinnacle_ev
"Thomas, Justin",150,+1190,+1402,0.164
"Scheffler, Scottie",150,+1553,+989,-0.341
"Spieth, Jordan",150,+2023,+1494,-0.249
"Morikawa, Collin",150,+2336,+1616,-0.296
"Im, Sungjae",150,+3121,+3698,0.179
"Hovland, Viktor",150,+3144,+2243,-0.278
"Zalatoris, Will",150,+3403,+2892,-0.146
"Kirk, Chris",150,+3757,+5711,0.507
"Finau, Tony",150,+4187,+4317,0.030
"Na, Kevin",150,+4305,+4716,0.093
"Burns, Sam",150,+4384,+3290,-0.244
"Homa, Max",150,+4440,+4414,-0.006
"Gooch, Talor",150,+4713,+4335,-0.079
"Varner III, Harold",150,+4863,+6343,0.298
"Berger, Daniel",150,+4951,+4296,-0.130
"Fleetwood, Tommy",150,+5291,+5289,-0.000
"Harman, Brian",150,+5350,+5394,0.008
"Horschel, Billy",150,+5582,+5080,-0.088
"Hoge, Tom",150,+6150,+6722,0.092
"Munoz, Sebastian",150,+6310,+6295,-0.002
"Pereira, Mito",150,+6857,+6300,-0.080
"Ancer, Abraham",150,+7433,+5111,-0.308
"Kokrak, Jason",150,+7548,+4498,-0.399
"McNealy, Maverick",150,+8484,+9615,0.132
"Rose, Justin",150,+8558,+8460,-0.011
"Simpson, Webb",150,+9159,+5026,-0.446
"Pan, C.T.",150,+9656,+10006,0.036
"Woodland, Gary",150,+10263,+8336,-0.186
"Merritt, Troy",150,+10317,+8924,-0.134
"Tringale, Cameron",150,+10711,+9615,-0.101
"Ghim, Doug",150,+11329,+10886,-0.039
"Long, Adam",150,+11665,+10421,-0.106
"Kisner, Kevin",150,+11840,+8770,-0.257
"Bezuidenhout, Christiaan",150,+11948,+13637,0.140
"Spaun, J.J.",150,+12361,+14779,0.194
"Lee, Kyounghoon",150,+12680,+9615,-0.240
"Palmer, Ryan",150,+13189,+14363,0.088
"Van Rooyen, Erik",150,+14034,+8770,-0.372
"Hubbard, Mark",150,+14186,+16222,0.143
"NeSmith, Matthew",150,+14186,+15692,0.105
"Poston, J.T.",150,+14660,+15222,0.038
"Reed, Patrick",150,+14825,+8185,-0.445
"Knox, Russell",150,+15226,+15692,0.030
"Glover, Lucas",150,+16778,+11377,-0.320
"Streelman, Kevin",150,+16921,+16222,-0.041
"Sabbatini, Rory",150,+17367,+11377,-0.343
"Riley, Davis",150,+18165,+11499,-0.365
"Rai, Aaron",150,+18165,+10421,-0.424
"Stallings, Scott",150,+18165,+19356,0.065
"McCarthy, Denny",150,+18679,+13216,-0.291
"Dahmen, Joel",150,+19131,+13567,-0.289
"Todd, Brendon",150,+20625,+10643,-0.482
"Lashley, Nate",150,+20733,+18642,-0.100
"Jones, Matt",150,+20842,+14779,-0.290
"Perez, Pat",150,+20953,+16222,-0.225
"Herbert, Lucas",150,+21290,+15692,-0.262
"Cink, Stewart",150,+21999,+16222,-0.261
"Putnam, Andrew",150,+22246,+16222,-0.270
"Taylor, Nick",150,+22627,+27984,0.236
"Poulter, Ian",150,+22889,+12541,-0.450
"Fowler, Rickie",150,+23156,+21189,-0.085
"Kizzire, Patton",150,+23569,+22888,-0.029
"Lipsky, David",150,+23569,+16762,-0.288
"Davis, Cameron",150,+23569,+16222,-0.310
"Smalley, Alex",150,+26927,+20944,-0.221
"DeChambeau, Bryson",150,+27111,+6639,-0.752
"Frittelli, Dylan",150,+27297,+14779,-0.457
"Hahn, James",150,+27297,+25218,-0.076
"Johnson, Zach",150,+28471,+18642,-0.344
"Jaeger, Stephan",150,+29530,+17335,-0.412
"Moore, Taylor",150,+30908,+22888,-0.259
"Duncan, Tyler",150,+32158,+29606,-0.079
"Schwab, Matthias",150,+32420,+17943,-0.445
"Lee, Danny",150,+32687,+22888,-0.299
"Rodgers, Patrick",150,+33798,+15692,-0.534
