datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Scheffler, Scottie","Scottie Scheffler",150,22818973,11200,32.066,8:26 am,1,73.5,7.2,0,80.7,0.55,100,16.4913499732591,
"Thomas, Justin","Justin Thomas",150,22818974,11000,32.004,8:26 am,1,74.6,7.8,0,82.4,0.78,100,18.2033499767259,
"Morikawa, Collin","Collin Morikawa",150,22818975,10700,31.824,8:15 am,1,69.3,5.9,0,75.2,0.28,100,16.9146086719932,
"Spieth, Jordan","Jordan Spieth",150,22818976,10400,32.278,12:56 pm,0,69.7,6,0,75.7,0.45,100,20.1776264401979,
"Zalatoris, Will","Will Zalatoris",150,22818977,10100,30.822,12:34 pm,0,66.4,5.1,0,71.5,0.21,100,12.930840154294,
"Hovland, Viktor","Viktor Hovland",150,22818978,10000,30.816,12:45 pm,0,66.4,5.1,0,71.5,0.25,100,14.5835425532636,
"Burns, Sam","Sam Burns",150,22818979,9700,31.524,8:04 am,1,63.6,4.3,0,68,0.07,100,11.5560023709335,
"Homa, Max","Max Homa",150,22818980,9400,30.870,12:56 pm,0,63.7,4.4,0,68.1,0.2,100,11.3008646122076,
"Ancer, Abraham","Abraham Ancer",150,22818981,9300,30.369,1:07 pm,0,60.7,3.8,0,64.4,-0.04,100,12.452301119128,
"Im, Sungjae","Sungjae Im",150,22818982,9200,31.210,7:53 am,1,67.3,5.2,0,72.5,0.67,100,11.1994725583743,
"Finau, Tony","Tony Finau",150,22818983,9100,30.771,1:07 pm,0,64.4,4.7,0,69.1,0.41,100,10.6467901243524,
"Berger, Daniel","Daniel Berger",150,22818984,9000,30.639,12:56 pm,0,62.2,4.2,0,66.3,0.22,100,10.6194757360685,
"Gooch, Talor","Talor Gooch",150,22818985,8900,30.902,8:04 am,1,63.7,4.3,0,68.1,0.41,100,10.1976673849585,
"Fleetwood, Tommy","Tommy Fleetwood",150,22818986,8800,30.222,7:20 am,1,62.6,4.2,0,66.9,0.34,100,11.192248704011,
"Simpson, Webb","Webb Simpson",150,22818987,8700,29.743,8:15 am,1,58.3,3.2,0,61.5,-0.04,100,9.22100470052152,
"Pereira, Mito","Mito Pereira",150,22818988,8600,30.347,12:45 pm,0,60.8,3.8,0,64.6,0.23,100,7.79155754415686,
"Horschel, Billy","Billy Horschel",150,22818989,8500,30.278,8:04 am,1,61.8,4,0,65.8,0.38,100,10.0267783635862,
"Riley, Davis","Davis Riley",150,22818990,8400,29.238,11:50 am,0,54.4,2.5,0,56.9,-0.18,100,8.56903729840013,
"Kokrak, Jason","Jason Kokrak",150,22818992,8200,30.165,8:26 am,1,60,3.5,0,63.4,0.3,100,8.89646160793659,
"Na, Kevin","Kevin Na",150,22818993,8100,30.974,8:26 am,1,63.9,4.3,0,68.2,0.76,100,15.1011161009308,
"Woodland, Gary","Gary Woodland",150,22818995,7900,29.812,8:37 am,1,57.2,3.1,0,60.3,0.15,100,8.82266593995383,
"Kirk, Chris","Chris Kirk",150,22818996,7900,30.981,12:12 pm,0,65.3,4.8,0,70.1,1,100,13.146394714811,
"Harman, Brian","Brian Harman",150,22818998,7800,29.972,7:31 am,1,61.3,4,0,65.3,0.63,100,13.3320979993585,
"Varner III, Harold","Harold Varner III",150,22818997,7800,30.331,8:48 am,1,63.5,4.2,0,67.7,0.83,100,11.7470116812451,
"Rose, Justin","Justin Rose",150,22818999,7700,29.932,12:34 pm,0,58.3,3.1,0,61.4,0.33,100,11.9887044172236,
"Munoz, Sebastian","Sebastian Munoz",150,22819000,7700,30.602,12:34 pm,0,61,3.6,0,64.6,0.61,100,10.6614080268846,
"Hoge, Tom","Tom Hoge",150,22819002,7600,30.813,12:45 pm,0,61.3,3.9,0,65.1,0.69,100,9.29965949725268,
