tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Burns, Sam",19483,9700,0.1021,1,3,0,0,0,75.0,30,108.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Stallings, Scott",12359,6400,0.0073,T4,3,3,0,0,71.5,16,93.5
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Todd, Brendon",12425,7000,0.0221,3,0,3,0,0,70.5,18,91.5
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Riley, Davis",19872,8400,0.1362,T4,3,3,0,0,69.0,16,91.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Scheffler, Scottie",18417,11200,0.1346,2,0,6,0,0,63.0,20,89.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Finau, Tony",11676,9100,0.0922,T4,0,3,0,0,61.0,16,80.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Pereira, Mito",19455,8600,0.0918,T7,0,3,0,0,66.0,10,79.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Spieth, Jordan",14636,10400,0.2936,T7,0,3,0,0,65.0,10,78.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Varner III, Harold",16602,7800,0.1965,T27,3,3,0,0,68.0,3,77.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Davis, Cam",17786,7200,0.0211,T7,0,0,0,0,66.5,10,76.5
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Na, Kevin",7452,8100,0.1753,T7,0,0,0,0,66.5,10,76.5
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Jones, Matt",8605,7000,0.006,T12,3,0,0,0,64.5,6,73.5
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Huh, John",14606,6100,0.0017,T12,0,0,0,0,67.0,6,73.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Reed, Patrick",14838,7400,0.0722,T7,0,0,0,0,62.0,10,72.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Lee, Danny",11826,6300,0.0037,T23,3,3,0,0,60.0,4,70.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Putnam, Andrew",14704,6200,0.0058,T15,3,0,0,0,60.5,6,69.5
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Im, Sungjae",17488,9200,0.1504,T15,0,0,0,0,63.0,6,69.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Perez, Pat",6762,6900,0.0096,T12,0,0,0,0,62.5,6,68.5
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Hossler, Beau",15470,6500,0.0117,T21,0,3,0,0,61.0,4,68.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Berger, Daniel",17606,9000,0.098,T23,0,0,0,0,63.5,4,67.5
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Knox, Russell",13831,6900,0.0328,T15,0,0,0,0,60.5,6,66.5
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Duncan, Tyler",18187,6300,0.0049,T15,0,0,0,0,60.5,6,66.5
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Kirk, Chris",12423,7900,0.1773,T15,0,0,0,0,60.0,6,66.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Taylor, Nick",13126,6300,0.0059,T48,0,0,0,0,64.5,1,65.5
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Hovland, Viktor",18841,10000,0.1775,T21,0,3,0,0,58.0,4,65.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Homa, Max",17538,9400,0.1396,T23,0,0,0,0,60.5,4,64.5
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Bezuidenhout, Christiaan",18103,7600,0.0391,T15,0,0,0,0,57.0,6,63.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"McCarthy, Denny",19870,6800,0.0606,T27,0,0,0,0,59.0,3,62.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Johnson, Zach",6986,6400,0.0041,T23,3,0,0,0,55.0,4,62.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Ramey, Chad",19840,6300,0.0053,T27,0,3,0,0,56.0,3,62.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Kitayama, Kurt",21891,6400,0.0246,T40,0,3,0,0,56.5,2,61.5
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Smalley, Alex",18474,6700,0.011,T27,0,3,0,0,55.5,3,61.5
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Haas, Bill",7900,6200,0.0022,T27,0,0,0,0,58.5,3,61.5
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Frittelli, Dylan",11955,7100,0.0086,T35,0,0,0,0,59.0,2,61.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Reavie, Chez",7961,6300,0.0043,T27,0,0,0,0,57.5,3,60.5
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Rodgers, Patrick",16283,6600,0.0172,T35,0,0,0,0,58.0,2,60.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Gooch, Talor",18580,8900,0.1063,T27,0,0,0,0,57.0,3,60.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Hodges, Lee",25157,6100,0.0031,T35,3,0,0,0,54.0,2,59.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Simpson, Webb",11049,8700,0.0998,T27,0,0,0,0,56.0,3,59.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Poulter, Ian",1435,7200,0.0175,T40,0,0,0,0,56.5,2,58.5
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Donald, Luke",4163,6000,0.0034,T40,0,0,0,0,54.0,2,56.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Lipsky, David",15980,7000,0.0332,T48,3,0,0,0,52.0,1,56.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Herbert, Lucas",17064,7100,0.0247,T48,0,0,0,0,55.0,1,56.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Glover, Lucas",7399,6700,0.0569,T40,0,0,0,0,52.0,2,54.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Palmer, Ryan",7820,7300,0.0681,T40,0,0,0,0,52.0,2,54.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Fleetwood, Tommy",12294,8800,0.1676,T35,3,0,0,0,48.5,2,53.5
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Munoz, Sebastian",20770,7700,0.148,T48,0,0,0,0,52.5,1,53.5
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Fowler, Rickie",12965,7400,0.0495,T57,0,0,0,0,53.0,0,53.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Theegala, Sahith",23014,6500,0.0451,T57,0,0,0,0,53.0,0,53.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Morikawa, Collin",22085,10700,0.1475,T40,0,0,0,0,51.0,2,53.0
pga,2022,2022,Charles Schwab Challenge,21,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Sabbatini, Rory",6283,6700,0.0334,T52,0,0,0,0,52.5,0,52.5
