"","Name","ID","Salary","fpts","total_pts","odds_open","odds_close","odds_delta","odds_delta_per","odds_rank","proj_own","own_change","own"
"1","Scottie Scheffler",22818973,11200,76.67,67.74,0.0918,0.0804,-0.0114,-0.1242,1,14.3,17.3,0
"2","Justin Thomas",22818974,11000,82.44,75.3,0.0666,0.0698,0.00319999999999999,0.048,2,14.7,21.89,0
"3","Collin Morikawa",22818975,10700,68.74,73.02,0.0583,0.0514,-0.0069,-0.1184,4,17.8,11.88,0.02
"4","Jordan Spieth",22818976,10400,74.71,73.05,0.0627,0.0672,0.00449999999999999,0.0718,3,25.4,14.74,0.14
"5","Will Zalatoris",22818977,10100,70.28,75.87,0.0334,0.0316,-0.0018,-0.0539,7,9.3,10.61,0.2
"6","Viktor Hovland",22818978,10000,72.83,65.05,0.0427,0.0418,-0.000900000000000005,-0.0211,5,19.7,15.52,0
"7","Sam Burns",22818979,9700,68.93,73.24,0.0295,0.0318,0.0023,0.078,6,13.2,11.32,0.24
"8","Max Homa",22818980,9400,65.84,73.24,0.0222,0.0278,0.0056,0.2523,9,16.1,10.63,0.26
"9","Abraham Ancer",22818981,9300,64.06,65.85,0.0192,0.0227,0.0035,0.1823,14,20.7,7.38,0.16
"10","Sungjae Im",22818982,9200,72.06,69.14,0.0263,0.0306,0.0043,0.1635,8,13.6,14.13,0.28
"11","Tony Finau",22818983,9100,67.84,75.99,0.0226,0.024,0.0014,0.0619,12,14.6,8.88,0.24
"12","Daniel Berger",22818984,9000,72.94,73.24,0.0227,0.0223,-0.000400000000000001,-0.0176,16,13,11.66,0.24
"13","Talor Gooch",22818985,8900,64.42,60.15,0.0225,0.0257,0.0032,0.1422,10,13.9,11.5,0.04
"14","Tommy Fleetwood",22818986,8800,68.15,70.36,0.0186,0.0224,0.0038,0.2043,15,18.7,10.98,0.3
"15","Webb Simpson",22818987,8700,64.95,62.97,0.0195,0.0219,0.0024,0.1231,17,9.4,8.36,0.18
"16","Mito Pereira",22818988,8600,68.32,75.87,0.0156,0.0146,-0.000999999999999999,-0.0641,25,5.6,9.41,0.16
"17","Billy Horschel",22818989,8500,63.19,60.31,0.0193,0.0181,-0.0012,-0.0622,22,10.1,9.42,0.2
"18","Davis Riley",22818990,8400,55.6,53.48,0.0086,0.0184,0.0098,1.1395,21,14.4,6.79,0
"19","Jason Kokrak",22818992,8200,63.39,59,0.0217,0.0206,-0.0011,-0.0507,19,8.8,8.82,0.18
"20","Kevin Na",22818993,8100,59.33,57.36,0.0208,0.0241,0.0033,0.1587,11,20.5,7.35,0.2
