player_id,team,opp,pos,name,fpts,proj_own,noto_rtg,ceil,floor,min_exposure,max_exposure,salary,custom,rg_id,partner_id
1210,,,G,Peter Malnati,46.33,2.7,42.9,72.5,22.5,0,0,6800,,34908,1210
1496,,,G,Scottie Scheffler,76.67,14.3,87.8,95,59,0,0,11200,,35127,1496
2024,,,G,Max Homa,65.84,16.1,76,87,28,0,0,9400,,36137,2024
2046,,,G,Jason Dufner,44.8,0.07,44.5,70.5,22.5,0,0,6200,,34756,2046
2167,,,G,J.J. Spaun,53.9,3.8,56,77.5,24.5,0,0,7100,,36093,2167
2178,,,G,Pat Perez,52.13,0.58,57.2,76,24.5,0,0,6900,,36099,2178
762740,,,G,James Piot,29.34,0.02,13.9,51.08,17.5,0,0,6000,,3384211,762740
1870,,,G,Daniel Berger,72.94,13,86.5,91.5,53,0,0,9000,,34742,1870
1760,,,G,Tom Hoge,58.6,10.6,68.2,82,25.5,0,0,7600,,34888,1760
300102,,,G,Collin Morikawa,68.74,17.8,87.6,88.5,29,0,0,10700,,36083,300102
1112,,,G,Robert Streb,43.44,0.49,36.5,68.5,22,0,0,6000,,34814,1112
2168,,,G,Kevin Tway,37.55,0.15,26.8,64,20.5,0,0,6100,,35139,2168
2125,,,G,Tony Finau,67.84,14.6,82.5,88,29,0,0,9100,,34873,2125
702803,,,G,John Pak,36.68,0.03,21.8,62.5,20.43,0,0,6100,,2216230,702803
2158,,,G,Lucas Glover,57.54,6.1,59.5,80.5,25.5,0,0,6700,,34876,2158
696566,,,G,Brandon Wu,47.73,0.98,42.2,72.5,23.5,0,0,6500,,1074861,696566
1883,,,G,Danny Lee,44.95,0.85,38,71.08,22.5,0,0,6300,,34784,1883
1663,,,G,Chez Reavie,46.74,0.46,39.5,71.5,23,0,0,6300,,34927,1663
404847,,,G,Sahith Theegala,53.7,8.3,43.7,78,25,0,0,6500,,37149,404847
2049,,,G,Zach Johnson,45.59,0.14,41.6,72,22.5,0,0,6400,,34772,2049
670398,,,G,Greyson Sigg,47.36,0.62,38.4,72.5,23,0,0,6500,,37979,670398
1961,,,G,Scott Stallings,52.13,0.65,48.3,76,24,0,0,6400,,34999,1961
1631,,,G,Charley Hoffman,52.31,0.77,51.4,77,24.5,0,0,6500,,34766,1631
1653,,,G,C.T. Pan,58.59,5.5,68.4,81,25.5,0,0,7500,,35389,1653
1554,,,G,Kevin Streelman,59.22,4.3,65,82,25.5,0,0,6800,,34815,1554
1115,,,G,Nick Watney,36.68,0.15,34.8,62.5,20,0,0,6000,,36095,1115
1005,,,G,Stewart Cink,51.91,5.6,54.3,76,24.5,0,0,7100,,34863,1005
1049,,,G,Kevin Na,59.33,20.5,80.2,82,26,0,0,8100,,34798,1049
288611,,,G,Paul Barjon,44.76,0.22,32.5,70.5,22.5,0,0,6200,,912552,288611
698823,,,G,Vince Whaley,39.56,0.61,39.8,65.5,21,0,0,6400,,1266432,698823
320038,,,G,Sebastian Munoz,62.99,14.6,74.2,84.5,27,0,0,7700,,36138,320038
1237,,,G,Rickie Fowler,51.49,4.1,53.6,76,24,0,0,7400,,34760,1237
2128,,,G,Camilo Villegas,44.59,0.27,26,70.5,22,0,0,6100,,34948,2128
670620,,,G,Sungjae Im,72.06,13.6,81.6,91,50,0,0,9200,,382250,670620
1941,,,G,Matthew NeSmith,55.43,6.5,58.6,79,25,0,0,7300,,35080,1941
1842,,,G,Tyler Duncan,46.23,0.65,40.3,71,22.5,0,0,6300,,37911,1842
1622,,,G,Joel Dahmen,52.56,3.4,61.4,77,24,0,0,7200,,36136,1622
1655,,,G,James Hahn,50.35,2,42.7,74.58,23.5,0,0,7000,,34881,1655
1216,,,G,Russell Knox,54.15,3.7,59.6,77.5,24.5,0,0,6900,,34778,1216
1579,,,G,Will Zalatoris,70.28,9.3,81.3,91.5,29.93,0,0,10100,,35055,1579
1018,,,G,Denny McCarthy,48.97,4.4,59.8,73.5,23.5,0,0,6800,,35117,1018
670533,,,G,Garrick Higgo,42.81,0.64,29.7,68.5,22.5,0,0,6200,,2879219,670533
692005,,,G,Adam Long,49.3,7.2,55.6,74.5,23,0,0,6900,,565464,692005
671028,,,G,Mito Pereira,68.32,5.6,78.5,88.5,29,0,0,8600,,278841,671028
1689,,,G,Beau Hossler,41.22,0.63,38.1,67,21.5,0,0,6500,,36293,1689
1107,,,G,Brian Stuard,47.26,0.57,48.7,72.5,22.5,0,0,6600,,35002,1107
2119,,,G,Chad Ramey,44.8,0.57,46.1,70.08,22.5,0,0,6300,,3083529,2119
670622,,,G,Tyler Strafaci,27.58,0.02,12.1,49.64,15.3,0,0,6000,,126600,670622
330678,,,G,Cameron Davis,57.83,3.2,54.9,81,25.5,0,0,7200,,36131,330678
1701,,,G,Justin Thomas,82.44,14.7,95.3,101.58,63,0,0,11000,,34818,1701
1822,,,G,Luke Donald,46.38,0.54,42.5,71.5,22.5,0,0,6000,,34870,1822
1514,,,G,Trey Mullinax,48.62,0.6,33.8,73.5,23.5,0,0,6100,,36084,1514
690049,,,G,Viktor Hovland,72.83,19.7,90.8,91,31.93,0,0,10000,,658704,690049
190,,,G,Harold Varner III,65.01,15.4,80.8,85.5,28,0,0,7800,,34947,190
1625,,,G,Davis Riley,55.6,14.4,59.2,79.5,25.5,0,0,8400,,1000174,1625
1438,,,G,Brendon Todd,51.01,0.69,55.1,74.5,24,0,0,7000,,34943,1438
1449,,,G,Cameron Tringale,60.21,5.8,73.3,82.5,26,0,0,7500,,35004,1449
165746,,,G,Taylor Moore,49.76,1.2,47.2,74.5,23.5,0,0,6700,,35323,165746
692426,,,G,Hayden Buckley,47.74,0.63,38.5,73,23,0,0,6000,,1694130,692426
1725,,,G,Billy Horschel,63.19,10.1,80.8,84.5,27,0,0,8500,,34768,1725
670625,,,G,Doug Ghim,57.96,6.4,56.3,80,25.5,0,0,6700,,201095,670625
693648,,,G,Min Woo Lee,46.18,0.75,33,72,22.5,0,0,6900,,2667551,693648
477949,,,G,Austin Smotherman,50.28,7.6,46.7,75,24,0,0,6300,,3083528,477949
353925,,,G,Aaron Rai,54.71,4.3,54.7,78.5,24.5,0,0,7200,,37143,353925
1914,,,G,Maverick McNealy,59.67,14.8,70.7,82.5,26,0,0,7500,,37136,1914
171,,,G,Jordan Spieth,74.71,25.4,91.8,92.5,56.5,0,0,10400,,34812,171
670627,,,G,Doc Redman,44.32,0.73,33.1,70,22,0,0,6100,,139893,670627
1409,,,G,Troy Merritt,53.81,7.9,67.5,77.5,24.5,0,0,7300,,34794,1409
473728,,,G,Nate Lashley,50.94,6,53.1,75.5,24,0,0,7100,,37914,473728
430916,,,G,Matthias Schwab,55.4,0.8,58.1,78,25,0,0,6600,,36546,430916
299906,,,G,Ryan Brehm,30.46,0.23,21.5,54,17.5,0,0,6000,,36071,299906
692607,,,G,Lee Hodges,48.63,0.32,39.2,73.5,23.5,0,0,6100,,672519,692607
782,,,G,Patrick Reed,51.17,5,60.3,75,24,0,0,7400,,34803,782
871,,,G,Tommy Fleetwood,68.15,18.7,78.5,88,29,0,0,8800,,35276,871
662,,,G,Abraham Ancer,64.06,20.7,79.7,85,27,0,0,9300,,34959,662
453,,,G,Christiaan Bezuidenhout,58.39,3.7,66.3,80,25.5,0,0,7600,,1156736,453
586,,,G,David Lipsky,55.5,4.3,52.9,80,25,0,0,7000,,36524,586
113,,,G,Lucas Herbert,44.96,2.8,53.2,71.5,22.5,0,0,7100,,382245,113
873,,,G,Rory Sabbatini,49.48,0.79,54.1,75,23.5,0,0,6700,,34931,873
400,,,G,Brandt Snedeker,47.57,0.7,39.4,73,23,0,0,6200,,34811,400
411,,,G,Bubba Watson,,0,,,,0,0,8000,,34820,411
895,,,G,Kevin Kisner,49.23,2.5,59.4,74.5,23.5,0,0,7400,,34776,895
