player_name,sample_size,baseline,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Rahm, Jon",150,1.875,27,0.017,-0.005,-0.009,0.289,0.074,-0.182,0.072,0.072,-0.038,2.203,2.996,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Cantlay, Patrick",150,1.721,30,0.008,0.031,-0.063,0.079,0.190,-0.069,0.003,0.066,0.000,1.965,2.974,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"McIlroy, Rory",150,1.931,33,-0.001,0.019,0.005,0.096,0.060,-0.236,-0.012,0.070,-0.177,1.933,3.002,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Lowry, Shane",150,1.769,35,-0.008,0.019,-0.018,-0.125,0.037,-0.051,0.035,0.074,0.058,1.732,2.973,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Fitzpatrick, Matthew",150,1.606,27,0.016,0.054,0.027,-0.082,0.004,-0.042,0.063,0.030,0.051,1.677,2.944,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Morikawa, Collin",150,1.298,25,0.024,0.100,-0.019,-0.004,0.076,-0.029,0.122,0.093,0.186,1.661,2.998,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Schauffele, Xander",150,1.610,28,0.013,-0.008,-0.014,-0.018,0.044,-0.096,0.047,0.068,0.019,1.647,2.941,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Smith, Cameron",150,1.922,28,0.013,-0.069,0.040,-0.210,-0.102,-0.033,-0.041,0.093,0.018,1.613,2.983,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Im, Sungjae",150,1.451,24,0.028,0.034,-0.049,0.046,-0.069,-0.029,0.074,0.045,0.090,1.531,2.986,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Matsuyama, Hideki",150,1.389,30,0.008,-0.054,-0.000,0.069,0.041,-0.046,0.028,0.081,0.063,1.516,2.992,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Hovland, Viktor",150,1.540,24,0.026,-0.004,0.003,-0.115,-0.008,-0.091,0.074,0.083,0.066,1.507,2.965,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Spieth, Jordan",150,1.215,28,0.013,-0.069,-0.021,0.147,0.093,-0.055,-0.042,0.058,-0.039,1.338,3.011,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Conners, Corey",150,1.228,30,0.008,0.004,-0.013,0.008,-0.026,-0.027,0.100,0.048,0.121,1.330,2.947,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Niemann, Joaquin",150,1.211,23,0.030,0.066,0.030,0.042,0.052,-0.125,-0.039,0.043,-0.121,1.309,2.944,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Zalatoris, Will",150,1.287,25,0.023,-0.018,0.037,0.111,-0.046,-0.138,-0.047,0.075,-0.110,1.284,2.953,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Bradley, Keegan",150,1.146,35,-0.011,0.025,0.016,0.005,0.019,-0.078,0.046,0.057,0.026,1.225,2.980,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Young, Cameron",150,1.122,25,0.025,0.055,0.050,0.100,-0.040,-0.184,0.024,0.033,-0.127,1.185,2.993,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Homa, Max",150,1.196,31,0.004,0.010,0.041,-0.111,0.041,-0.084,0.013,0.060,-0.011,1.169,2.990,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Pereira, Mito",150,1.117,27,0.018,0.010,-0.027,0.011,-0.040,-0.050,0.070,0.057,0.077,1.165,2.959,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Kirk, Chris",150,0.964,37,-0.014,-0.084,0.030,0.066,0.057,0.018,0.069,0.039,0.126,1.145,2.966,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Horschel, Billy",150,0.985,35,-0.009,0.029,0.003,-0.128,0.118,0.019,0.098,0.022,0.139,1.137,2.954,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Power, Seamus",150,1.093,35,-0.008,0.047,0.023,0.004,-0.040,-0.041,0.002,0.026,-0.012,1.107,2.964,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Berger, Daniel",150,1.080,29,0.012,0.028,-0.094,-0.000,-0.078,-0.008,0.086,0.061,0.140,1.087,2.939,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Wise, Aaron",150,0.913,25,0.022,0.029,-0.019,0.032,0.000,-0.063,0.017,0.056,0.009,0.987,2.985,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Kuchar, Matt",150,0.884,43,-0.037,-0.144,0.048,-0.342,0.340,0.129,0.084,-0.005,0.208,0.957,2.925,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Kim, Si Woo",150,0.584,26,0.019,0.013,0.012,0.106,0.076,0.004,0.065,0.036,0.104,0.914,2.966,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Ancer, Abraham",150,0.790,31,0.005,-0.053,0.011,-0.024,-0.046,0.037,0.142,0.029,0.208,0.891,2.963,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Noren, Alex",150,0.978,39,-0.023,-0.046,0.013,-0.134,0.010,-0.012,0.018,0.016,0.022,0.819,2.967,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Scott, Adam",150,0.818,41,-0.030,0.001,-0.012,-0.036,0.170,-0.091,-0.042,0.025,-0.108,0.802,2.974,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Hoge, Tom",150,0.865,33,-0.001,-0.069,-0.014,-0.093,-0.025,0.023,0.048,0.047,0.118,0.781,2.988,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Tringale, Cameron",150,0.646,34,-0.007,0.047,-0.014,-0.024,0.044,-0.012,0.007,0.037,0.032,0.725,2.952,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Woodland, Gary",150,0.615,38,-0.017,0.045,0.032,0.011,0.135,-0.101,-0.045,0.039,-0.107,0.713,2.960,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Harman, Brian",150,0.795,35,-0.009,-0.108,0.007,-0.095,-0.063,0.077,0.099,0.003,0.180,0.706,2.919,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Lee, Kyounghoon",150,0.564,30,0.006,0.064,-0.014,0.014,0.008,-0.022,0.053,0.016,0.047,0.688,2.984,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Knox, Russell",150,0.455,36,-0.014,-0.028,0.015,0.022,-0.007,0.043,0.134,0.044,0.221,0.663,2.948,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Leishman, Marc",150,0.734,38,-0.019,-0.020,-0.003,-0.098,0.112,-0.031,-0.038,0.026,-0.043,0.662,2.966,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
"Pan, C.T.",150,0.480,30,0.007,0.001,-0.001,0.012,0.039,0.022,0.051,0.033,0.107,0.645,2.951,"the Memorial Tournament presented by Workday",Muirfield Village Golf Club
