datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Rahm, Jon","Jon Rahm",150,22890808,11100,32.563,N/A,0,76.1,7.7,0,83.8,0.65,100,5,
"McIlroy, Rory","Rory McIlroy",150,22890809,10900,32.215,N/A,0,72.6,6.5,0,79.1,0.27,100,5,
"Cantlay, Patrick","Patrick Cantlay",150,22890810,10700,32.404,N/A,0,73,6.8,0,79.8,0.46,100,5,
"Morikawa, Collin","Collin Morikawa",150,22890811,10400,31.481,N/A,0,69.6,5.5,0,75.1,0.15,100,5,
"Schauffele, Xander","Xander Schauffele",150,22890812,10200,31.439,N/A,0,68.3,5.4,0,73.6,0.11,100,5,
"Smith, Cameron","Cameron Smith",150,22890813,9900,31.590,N/A,0,68.6,5.3,0,73.9,0.31,100,5,
"Spieth, Jordan","Jordan Spieth",150,22890814,9700,31.807,N/A,0,65.4,4.5,0,69.9,0.01,100,5,
"Zalatoris, Will","Will Zalatoris",150,22890815,9400,30.463,N/A,0,64.2,4.1,0,68.3,0.02,100,5,
"Hovland, Viktor","Viktor Hovland",150,22890816,9300,31.635,N/A,0,67.2,5.1,0,72.3,0.49,100,5,
"Matsuyama, Hideki","Hideki Matsuyama",150,22890817,9200,31.834,N/A,0,67.5,5.1,0,72.5,0.57,100,5,
"Fitzpatrick, Matthew","Matt Fitzpatrick",150,22890818,9100,31.277,N/A,0,69.1,5.6,0,74.7,0.85,100,5,
"Lowry, Shane","Shane Lowry",150,22890819,9000,31.957,N/A,0,69.8,5.8,0,75.6,1,100,5,
"Im, Sungjae","Sungjae Im",150,22890820,8900,31.580,N/A,0,67.5,5,0,72.6,0.75,100,5,
"Young, Cameron","Cameron Young",150,22890821,8800,30.849,N/A,0,63.4,4,0,67.3,0.26,100,5,
"Homa, Max","Max Homa",150,22890822,8700,31.220,N/A,0,63.2,4,0,67.2,0.3,100,5,
"Riley, Davis","Davis Riley",150,22890823,8600,29.739,N/A,0,57,2.7,0,59.7,-0.17,100,5,
"Berger, Daniel","Daniel Berger",150,22890824,8500,30.334,N/A,0,61.7,3.7,0,65.4,0.23,100,5,
"Conners, Corey","Corey Conners",150,22890825,8400,31.369,N/A,0,64.1,4.4,0,68.5,0.61,100,5,
"Niemann, Joaquin","Joaquin Niemann",150,22890826,8300,31.216,N/A,0,64.5,4.4,0,68.9,0.72,100,5,
