tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2022,2022,the Memorial Tournament presented by Workday,23,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Horschel, Billy",11276,7900,0.0717,1,0,6,0,0,77.0,30,113.0
pga,2022,2022,the Memorial Tournament presented by Workday,23,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Homa, Max",17538,8700,0.1513,T5,3,0,0,0,77.5,14,94.5
pga,2022,2022,the Memorial Tournament presented by Workday,23,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Zalatoris, Will",19428,9400,0.111,T5,6,0,0,0,74.5,14,94.5
pga,2022,2022,the Memorial Tournament presented by Workday,23,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Niemann, Joaquin",18079,8300,0.2205,T3,0,0,0,0,76.0,18,94.0
pga,2022,2022,the Memorial Tournament presented by Workday,23,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Wise, Aaron",22051,7500,0.1574,2,0,0,0,0,72.0,20,92.0
pga,2022,2022,the Memorial Tournament presented by Workday,23,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Cantlay, Patrick",15466,10700,0.0997,T3,0,0,0,0,74.0,18,92.0
pga,2022,2022,the Memorial Tournament presented by Workday,23,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Theegala, Sahith",23014,6500,0.0425,T5,3,0,0,0,68.5,14,85.5
pga,2022,2022,the Memorial Tournament presented by Workday,23,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Hadwin, Adam",13965,6800,0.0543,T18,3,0,5,0,72.5,5,85.5
pga,2022,2022,the Memorial Tournament presented by Workday,23,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Schauffele, Xander",19895,10200,0.1482,T18,6,0,0,0,73.0,5,84.0
pga,2022,2022,the Memorial Tournament presented by Workday,23,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Berger, Daniel",17606,8500,0.0667,T5,0,0,0,0,70.0,14,84.0
pga,2022,2022,the Memorial Tournament presented by Workday,23,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Pereira, Mito",19455,8000,0.1952,T13,3,0,0,0,73.0,6,82.0
pga,2022,2022,the Memorial Tournament presented by Workday,23,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Conners, Corey",17576,8400,0.0936,T13,3,0,0,0,72.5,6,81.5
pga,2022,2022,the Memorial Tournament presented by Workday,23,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"McCarthy, Denny",19870,7000,0.0399,T5,0,0,0,0,66.0,14,80.0
pga,2022,2022,the Memorial Tournament presented by Workday,23,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Rahm, Jon",19195,11100,0.2094,T10,3,0,0,0,67.5,7,77.5
pga,2022,2022,the Memorial Tournament presented by Workday,23,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Smith, Cameron",15856,9900,0.1479,T13,0,0,0,0,68.0,6,74.0
pga,2022,2022,the Memorial Tournament presented by Workday,23,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Riley, Davis",19872,8600,0.1041,T13,3,0,0,0,64.0,6,73.0
pga,2022,2022,the Memorial Tournament presented by Workday,23,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Steele, Brendan",11019,6600,0.1068,T10,0,0,0,0,65.5,7,72.5
pga,2022,2022,the Memorial Tournament presented by Workday,23,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"McIlroy, Rory",10091,10900,0.183,T18,0,0,0,0,67.0,5,72.0
pga,2022,2022,the Memorial Tournament presented by Workday,23,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Perez, Pat",6762,6600,0.0258,T26,3,0,0,0,66.0,3,72.0
pga,2022,2022,the Memorial Tournament presented by Workday,23,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"List, Luke",7960,7100,0.0284,T26,3,0,0,0,66.0,3,72.0
pga,2022,2022,the Memorial Tournament presented by Workday,23,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Hossler, Beau",15470,6200,0.0243,T32,0,0,0,0,69.5,2,71.5
pga,2022,2022,the Memorial Tournament presented by Workday,23,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Mitchell, Keith",17365,7300,0.051,T18,0,0,0,0,66.0,5,71.0
pga,2022,2022,the Memorial Tournament presented by Workday,23,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Higgo, Garrick",24342,6300,0.0008,T18,0,0,0,0,65.5,5,70.5
pga,2022,2022,the Memorial Tournament presented by Workday,23,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Rai, Aaron",18554,6900,0.0113,T26,3,0,0,0,63.0,3,69.0
pga,2022,2022,the Memorial Tournament presented by Workday,23,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Harman, Brian",8825,7100,0.0519,T18,0,0,0,0,62.5,5,67.5
pga,2022,2022,the Memorial Tournament presented by Workday,23,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Molinari, Francesco",7655,6600,0.0088,T26,3,0,0,0,61.5,3,67.5
pga,2022,2022,the Memorial Tournament presented by Workday,23,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Im, Sungjae",17488,8900,0.1413,T10,0,0,0,0,59.5,7,66.5
pga,2022,2022,the Memorial Tournament presented by Workday,23,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Kim, Si Woo",14609,7600,0.0759,T13,0,0,0,0,60.0,6,66.0
