"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"1","Jon Rahm",22890808,11100,82.5,0.0887,0.0831,1,-0.00560000000000001,-0.0631,81.89,14.3,99,66,0.8562,0.0311,0.6533,0.5432,0.3687,0.2369,0.1668,0.0725,10,7.49,0.86,-9.06,5,0.2094,77.5,"2022-06-05","Memorial Tournament"
"2","Rory McIlroy",22890809,10900,87.29,0.0692,0.0667,2,-0.0025,-0.0361,80.36,16.3,98.5,63,0.8268,0.0252,0.6004,0.4804,0.3122,0.1897,0.1295,0.0524,18,6.12,-0.14,-3.02,13,0.183,72,"2022-06-05","Memorial Tournament"
"3","Patrick Cantlay",22890810,10700,81.06,0.0617,0.0597,3,-0.00199999999999999,-0.0324,76.43,12.2,94,58.92,0.8297,0.0325,0.5997,0.4781,0.3106,0.1929,0.1332,0.0545,3,5.58,-0.32,-2.05,10,0.0997,92,"2022-06-05","Memorial Tournament"
"4","Collin Morikawa",22890811,10400,81.93,0.0432,0.0421,7,-0.0011,-0.0255,67.5,9.7,87,29.5,0.7925,0.0242,0.5282,0.4076,0.2469,0.1422,0.092,0.0337,100,4.05,-1.33,-0.4,9,0.1133,21,"2022-06-05","Memorial Tournament"
"5","Xander Schauffele",22890812,10200,83.54,0.0391,0.0514,4,0.0123,0.3146,79.7,15.5,97.5,63,0.7987,0.0198,0.5289,0.4056,0.2444,0.1393,0.0887,0.0328,18,5.04,-0.01,26.8,40,0.1482,84,"2022-06-05","Memorial Tournament"
"6","Cameron Smith",22890813,9900,89.14,0.0474,0.0493,5,0.0019,0.0401,71.69,16.4,90.5,32.5,0.7878,0.0236,0.5187,0.3959,0.2383,0.1363,0.0883,0.0349,13,4.98,0.41,5.86,22,0.1479,74,"2022-06-05","Memorial Tournament"
"7","Jordan Spieth",22890814,9700,74.04,0.0363,0.0448,6,0.0085,0.2342,72,21.3,90.5,33,0.7531,0.0209,0.4526,0.3303,0.1882,0.1016,0.0642,0.0232,18,4.62,0.36,19.16,40,0.1415,65.5,"2022-06-05","Memorial Tournament"
"8","Will Zalatoris",22890815,9400,68.82,0.0259,0.0323,10,0.0064,0.2471,69.95,19.4,89,30.5,0.7496,0.0166,0.4362,0.3145,0.1732,0.0904,0.0558,0.0188,5,3.44,-0.37,14.87,34,0.111,94.5,"2022-06-05","Memorial Tournament"
"9","Viktor Hovland",22890816,9300,90.75,0.0344,0.0346,9,0.000199999999999999,0.0058,70.65,16.5,89.5,30.5,0.775,0.0174,0.4914,0.3684,0.2101,0.115,0.0732,0.0256,51,3.72,0.06,2.41,19,0.1613,57.5,"2022-06-05","Memorial Tournament"
"10","Shane Lowry",22890819,9000,72.71,0.0401,0.0371,8,-0.003,-0.0748,75.12,20.4,92.5,59,0.8069,0.0202,0.549,0.4281,0.2644,0.1542,0.0998,0.0376,32,4.12,0.88,-3.86,17,0.2059,57.5,"2022-06-05","Memorial Tournament"
