"","Name","ID","Salary","fpts","total_pts","odds_open","odds_close","odds_delta","odds_delta_per","odds_rank","residuals","proj_own","own_change","own"
"1","Jon Rahm",22890808,11100,81.89,72.95,0.0887,0.0852,-0.0035,-0.0395,1,0.91,14.3,7.11,0.04
"2","Rory McIlroy",22890809,10900,80.36,59.53,0.0692,0.0692,0,0,2,0,16.3,6.9,0
"3","Patrick Cantlay",22890810,10700,76.43,66.78,0.0617,0.0588,-0.0029,-0.047,3,-0.44,12.2,5.53,0
"4","Collin Morikawa",22890811,10400,67.5,69.9,0.0432,0.0428,-0.000400000000000005,-0.0093,7,-1.25,9.7,4.11,0.17
"5","Xander Schauffele",22890812,10200,79.7,66.42,0.0391,0.0485,0.0094,0.2404,4,-0.26,15.5,6.5,0.05
"6","Cameron Smith",22890813,9900,71.69,63.62,0.0474,0.0457,-0.0017,-0.0359,6,0.13,16.4,5.84,0.01
"7","Jordan Spieth",22890814,9700,72,64.45,0.0363,0.0474,0.0111,0.3058,5,0.72,21.3,5.34,0.24
"8","Will Zalatoris",22890815,9400,69.95,76.59,0.0259,0.0272,0.0013,0.0502,12,-0.81,19.4,3.81,0.27
"9","Viktor Hovland",22890816,9300,70.65,61.02,0.0344,0.0351,0.000699999999999999,0.0203,9,0.22,16.5,5.87,0.1
"10","Hideki Matsuyama",22890817,9200,65.57,60.41,0.0314,0.0311,-0.000299999999999998,-0.0096,10,-0.02,15.8,5.04,0.08
"11","Shane Lowry",22890819,9000,75.12,81.22,0.0401,0.0384,-0.0017,-0.0424,8,1.15,20.4,5.57,0.3
"12","Sungjae Im",22890820,8900,71.44,65.35,0.0314,0.0299,-0.0015,-0.0478,11,0.38,11.9,5.31,0.21
"13","Cameron Young",22890821,8800,67.21,73.11,0.022,0.0235,0.0015,0.0682,13,-0.17,19.2,4.06,0.27
"14","Max Homa",22890822,8700,65.46,63.17,0.0189,0.0211,0.0022,0.1164,15,-0.28,17.2,3.97,0.24
"15","Davis Riley",22890823,8600,58.71,59.05,0.0139,0.0144,5e-04,0.036,23,-0.91,12.4,2.5,0.18
"16","Daniel Berger",22890824,8500,67.92,81.42,0.0149,0.0154,5e-04,0.0336,20,-0.64,6.9,3.85,0.13
"17","Corey Conners",22890825,8400,69.56,75.56,0.0195,0.0188,-0.000699999999999999,-0.0359,17,-0.08,10.3,3.89,0.17
"18","Joaquin Niemann",22890826,8300,71.22,67.31,0.0231,0.0223,-0.000799999999999999,-0.0346,14,0.49,16.6,4.91,0.25
"19","Abraham Ancer",22890827,8200,58.65,54.01,0.0129,0.0125,-0.000399999999999999,-0.031,26,-0.56,8.3,2.25,0.13
"20","Keegan Bradley",22890828,8100,66.5,68.48,0.0179,0.0173,-6e-04,-0.0335,18,0.18,11.4,3.81,0.18
"21","Mito Pereira",22890829,8000,70.99,71.28,0.0209,0.0202,-0.000699999999999999,-0.0335,16,0.67,19.4,4.72,0.28
"22","Seamus Power",22890830,8000,62.24,56.17,0.0155,0.015,-5e-04,-0.0323,22,0.02,6.1,3.51,0.12
"23","Billy Horschel",22890831,7900,60.53,53.92,0.0149,0.0141,-8e-04,-0.0537,24,0.04,5.9,3.42,0.12
"24","Patrick Reed",22890832,7900,52.35,51.18,0.0131,0.0152,0.0021,0.1603,21,0.18,15.3,2.09,0.08
"25","Matt Kuchar",22890833,7800,54.99,52.72,0.0105,0.0128,0.0023,0.219,25,0.01,10.7,2.82,0.17
"26","Bryson DeChambeau",22890834,7800,58.85,58.25,0.0108,0.0102,-6e-04,-0.0556,32,-0.32,1.2,1.86,0.05
"27","Adam Scott",22890835,7700,61.68,58.94,0.0099,0.0099,0,0,33,-0.23,6.6,3.44,0.13
"28","Chris Kirk",22890836,7700,65.69,56.94,0.0179,0.017,-0.000899999999999998,-0.0503,19,0.69,15.1,3.67,0.23
"29","Jason Day",22890837,7600,55.29,52.89,0.0109,0.0115,6e-04,0.055,28,0.09,5.7,2.2,0.09
"30","Si Woo Kim",22890838,7600,58.24,52.97,0.0111,0.0111,0,0,30,0.04,9.4,2.83,0.15
"31","Marc Leishman",22890839,7500,59.31,50.05,0.0095,0.0094,-9.99999999999994e-05,-0.0105,35,-0.07,7.9,3.34,0.14
"32","Alex Noren",22890840,7500,61.98,56.98,0.0121,0.0114,-0.000699999999999999,-0.0579,29,0.2,10.6,3.32,0.17
"33","Aaron Wise",22890841,7500,62.98,56.78,0.0127,0.0121,-6e-04,-0.0472,27,0.29,11.2,3.6,0.18
"34","Gary Woodland",22890842,7400,59.52,48.26,0.0105,0.0102,-3e-04,-0.0286,32,0.16,8.6,2.16,0.13
"35","Tom Hoge",22890843,7400,55.98,48.26,0.0103,0.0098,-5e-04,-0.0485,34,0.1,7.5,2.77,0.06
"36","Cameron Tringale",22890844,7400,57.62,49.43,0.0074,0.0071,-3e-04,-0.0405,43,-0.26,2.3,2.45,0.05
"37","Keith Mitchell",22890846,7300,56.67,49.48,0.0076,0.0075,-1e-04,-0.0132,40,-0.09,5.3,2.69,0.09
"38","Sepp Straka",22890847,7300,50.04,48.08,0.0052,0.0049,-3e-04,-0.0577,60,-0.45,2.2,1.12,0.05
"39","Cameron Davis",22890848,7200,55.09,59.37,0.004,0.0042,2e-04,0.05,67,-0.44,2.9,1.65,0.05
"40","Anirban Lahiri",22890849,7200,51.04,55.96,0.008,0.0079,-9.99999999999994e-05,-0.0125,38,0.08,5,1.06,0.07
"41","C.T. Pan",22890850,7200,54.28,49.43,0.008,0.0076,-4e-04,-0.05,39,0.04,3.5,2.04,0.07
"42","Rickie Fowler",22890851,7200,49.73,59.29,0.0052,0.0056,4e-04,0.0769,53,-0.24,6.3,1,0.08
"43","Lanto Griffin",22890852,7100,55.71,47.44,0.0062,0.0059,-3e-04,-0.0484,50,-0.1,1.4,2.25,0.05
