player_name,sample_size,DG_odds,pinnacle_odds,pinnacle_ev
"Rahm, Jon",150,+1279,+1074,-0.149
"Cantlay, Patrick",150,+1735,+1600,-0.074
"McIlroy, Rory",150,+1810,+1346,-0.243
"Lowry, Shane",150,+2561,+2506,-0.021
"Smith, Cameron",150,+2767,+2089,-0.237
"Morikawa, Collin",150,+2870,+2234,-0.214
"Fitzpatrick, Matthew",150,+2926,+2200,-0.240
"Schauffele, Xander",150,+2946,+1962,-0.323
"Im, Sungjae",150,+3393,+3246,-0.042
"Matsuyama, Hideki",150,+3443,+3116,-0.092
"Hovland, Viktor",150,+3799,+2746,-0.270
"Spieth, Jordan",150,+4215,+2008,-0.511
"Conners, Corey",150,+4790,+5213,0.087
"Bradley, Keegan",150,+5170,+5696,0.100
"Niemann, Joaquin",150,+5212,+4386,-0.156
"Zalatoris, Will",150,+5226,+3582,-0.309
"Young, Cameron",150,+5598,+4151,-0.254
"Homa, Max",150,+5647,+4632,-0.177
"Horschel, Billy",150,+6321,+6997,0.105
"Kirk, Chris",150,+6468,+5769,-0.106
"Pereira, Mito",150,+6773,+4843,-0.281
"Berger, Daniel",150,+6930,+6379,-0.078
"Power, Seamus",150,+6942,+6546,-0.056
"Wise, Aaron",150,+8199,+8164,-0.004
"Kim, Si Woo",150,+8929,+8908,-0.002
"Kuchar, Matt",150,+9012,+7722,-0.142
"Ancer, Abraham",150,+9656,+7921,-0.178
"Scott, Adam",150,+10482,+9968,-0.049
"Noren, Alex",150,+10482,+8658,-0.172
"Hoge, Tom",150,+11296,+10083,-0.106
"Woodland, Gary",150,+12598,+9696,-0.229
"Day, Jason",150,+13101,+8576,-0.343
"Lee, Kyounghoon",150,+13189,+13050,-0.010
"Leishman, Marc",150,+13985,+10486,-0.248
"Riley, Davis",150,+14135,+6830,-0.513
"Tringale, Cameron",150,+14288,+14084,-0.014
"Hadwin, Adam",150,+14499,+16890,0.164
"Knox, Russell",150,+15344,+11076,-0.276
"Pan, C.T.",150,+15648,+13050,-0.165
"List, Luke",150,+15648,+19409,0.239
"Long, Adam",150,+15710,+20674,0.314
"Reed, Patrick",150,+16094,+6494,-0.593
"Steele, Brendan",150,+16498,+14442,-0.124
"Van Rooyen, Erik",150,+16567,+18593,0.122
"Mitchell, Keith",150,+16849,+13255,-0.212
"Lahiri, Anirban",150,+17599,+12483,-0.289
"Glover, Lucas",150,+17678,+18741,0.060
"Merritt, Troy",150,+18679,+15392,-0.175
"Harman, Brian",150,+18857,+13772,-0.268
"Streelman, Kevin",150,+18857,+15392,-0.183
"NeSmith, Matthew",150,+19224,+28361,0.473
