player_name,sample_size,DG_odds,pinnacle_odds,pinnacle_ev
"Rahm, Jon",150,+1267,+1028,-0.175
"Cantlay, Patrick",150,+1789,+1522,-0.142
"McIlroy, Rory",150,+1876,+1346,-0.268
"Lowry, Shane",150,+2520,+2393,-0.048
"Morikawa, Collin",150,+2670,+2215,-0.164
"Fitzpatrick, Matthew",150,+2784,+2082,-0.243
"Schauffele, Xander",150,+3075,+2457,-0.195
"Smith, Cameron",150,+3087,+2010,-0.338
"Im, Sungjae",150,+3449,+3089,-0.101
"Matsuyama, Hideki",150,+3540,+3081,-0.126
"Hovland, Viktor",150,+3663,+2808,-0.227
"Spieth, Jordan",150,+4364,+2653,-0.383
"Conners, Corey",150,+4881,+5028,0.029
"Niemann, Joaquin",150,+4881,+4228,-0.131
"Zalatoris, Will",150,+5022,+3755,-0.247
"Bradley, Keegan",150,+5313,+5489,0.033
"Young, Cameron",150,+5395,+4452,-0.172
"Homa, Max",150,+5494,+5192,-0.054
"Pereira, Mito",150,+6219,+4684,-0.243
"Kirk, Chris",150,+6703,+5489,-0.178
"Horschel, Billy",150,+6703,+6618,-0.012
"Power, Seamus",150,+7005,+6358,-0.091
"Berger, Daniel",150,+7133,+6618,-0.071
"Wise, Aaron",150,+7837,+7792,-0.006
"Kuchar, Matt",150,+8653,+9437,0.090
"Kim, Si Woo",150,+8889,+8938,0.005
"Ancer, Abraham",150,+10209,+7674,-0.246
"Noren, Alex",150,+10799,+8192,-0.239
"Scott, Adam",150,+10950,+10021,-0.084
"Hoge, Tom",150,+12021,+9644,-0.196
"Tringale, Cameron",150,+12680,+13360,0.053
"Lee, Kyounghoon",150,+13015,+12339,-0.052
"Woodland, Gary",150,+13101,+9464,-0.276
"Riley, Davis",150,+13278,+7079,-0.463
"Leishman, Marc",150,+13886,+10373,-0.251
"Day, Jason",150,+13935,+9048,-0.348
"Harman, Brian",150,+14034,+14999,0.068
"Knox, Russell",150,+14084,+10475,-0.254
"Pan, C.T.",150,+14770,+12339,-0.163
"Van Rooyen, Erik",150,+15464,+19065,0.231
"Steele, Brendan",150,+15525,+17048,0.097
"Hadwin, Adam",150,+15836,+15961,0.008
"Mitchell, Keith",150,+15964,+13004,-0.184
"Lahiri, Anirban",150,+15964,+12339,-0.226
"Long, Adam",150,+16498,+19636,0.189
"Reed, Patrick",150,+17521,+7519,-0.568
"List, Luke",150,+17678,+18340,0.037
"Streelman, Kevin",150,+17918,+14548,-0.187
"NeSmith, Matthew",150,+18592,+27592,0.482
"Ghim, Doug",150,+18679,+22550,0.206
"Merritt, Troy",150,+19039,+14548,-0.235
"Vegas, Jhonattan",150,+19702,+10048,-0.488
"Griffin, Lanto",150,+20205,+15961,-0.209
"Stallings, Scott",150,+20519,+21546,0.050
"McCarthy, Denny",150,+20733,+26107,0.258
"English, Harris",150,+21064,+13004,-0.381
"Glover, Lucas",150,+21405,+19065,-0.109
"Straka, Sepp",150,+21522,+19065,-0.114
"Lipsky, David",150,+22372,+16503,-0.261
"Cink, Stewart",150,+23021,+17672,-0.231
"Fowler, Rickie",150,+23156,+19116,-0.174
"Jones, Matt",150,+23710,+14999,-0.366
"Palmer, Ryan",150,+23852,+26107,0.094
"Davis, Cameron",150,+23996,+24780,0.033
"Herbert, Lucas",150,+24745,+20632,-0.166
